Quote ID,Property ID,Service Required,Service Cost,Date of Quote,Region,Time Taken to Generate Quote,Quote Expiry Date,Quote Closure Status
5647,15784,Electrical Work,1214.99,2023-10-26,Port Mitchellchester,7 days,2025-05-05,Converted
5648,34283,Electrical Work,3401.78,2024-09-06,Alexiston,7 days,2025-06-20,Closed
5649,21608,HVAC Installation,2519.47,2024-08-24,South Cynthiaborough,4 days,2024-10-04,Converted
5650,17252,Interior Painting,3293.51,2024-06-13,East Mary,5 days,2025-05-16,Pending
5651,46108,HVAC Installation,1631.76,2024-05-09,Lake Ashleyhaven,6 days,2024-10-16,Expired
5652,46547,Interior Painting,1074.14,2024-04-08,East Jerryshire,1 days,2024-12-21,Pending
5653,16986,Plumbing,3033.6,2024-02-22,West Claire,5 days,2025-06-10,Expired
5654,955,Interior Painting,4913.41,2024-05-14,Port Justin,2 days,2025-06-10,Closed
5655,30513,Plumbing,4682.21,2023-09-28,South Stanley,2 days,2025-02-15,Converted
5656,7626,Plumbing,2062.18,2023-10-29,Lake Joshua,6 days,2025-03-31,Expired
5657,12102,Electrical Work,1562.58,2024-07-10,Lake Jacqueline,7 days,2025-02-17,Pending
5658,33063,Roof Repair,2103.36,2024-05-07,North Marcmouth,6 days,2025-06-18,Converted
5659,4506,Electrical Work,4077.57,2024-04-22,Hallfurt,3 days,2024-10-05,Expired
5660,41070,Plumbing,2059.16,2023-12-29,West Williamchester,5 days,2025-03-13,Closed
5661,39668,Roof Repair,3287.07,2024-02-20,Ramseyshire,7 days,2024-12-22,Expired
5662,39451,Roof Repair,1226.66,2024-08-21,Sherryfort,4 days,2024-10-26,Expired
5663,36451,HVAC Installation,3764.06,2024-02-27,Port Matthew,3 days,2025-01-09,Expired
5664,2689,Plumbing,1830.62,2024-07-30,New Melissafurt,3 days,2024-11-01,Pending
5665,33856,Roof Repair,3857.07,2024-01-06,Moorestad,1 days,2025-04-14,Converted
5666,22458,Roof Repair,599.9,2024-08-07,Mcdonaldburgh,3 days,2025-05-13,Converted
5667,2801,Electrical Work,3351.87,2023-12-30,Ashleyside,4 days,2025-03-29,Pending
5668,32328,HVAC Installation,2240.09,2023-12-02,Port Melindashire,7 days,2025-05-14,Closed
5669,27499,HVAC Installation,2207.13,2024-07-12,Bradfordshire,2 days,2024-10-31,Converted
5670,15732,Plumbing,2435.65,2023-11-28,Lauramouth,7 days,2025-02-24,Converted
5671,43351,Roof Repair,4535.16,2024-04-03,East Lindseyton,5 days,2025-02-17,Expired
5672,29387,Roof Repair,1124.69,2024-02-21,Port Edwardchester,4 days,2025-02-24,Converted
5673,34420,Plumbing,4944.68,2024-05-29,Brownland,7 days,2025-01-07,Pending
5674,45999,Interior Painting,1201.55,2024-01-12,South Monica,4 days,2025-05-22,Pending
5675,3510,Roof Repair,2067.18,2023-12-19,East Shannon,2 days,2024-10-02,Converted
5676,23928,HVAC Installation,2383.1,2024-08-22,East Caleb,5 days,2025-05-08,Expired
5677,17179,Roof Repair,4668.08,2024-04-23,Robertville,2 days,2025-05-08,Closed
5678,33226,Roof Repair,876.63,2023-12-21,East Kellychester,1 days,2024-11-16,Pending
5679,14728,Plumbing,2639.58,2024-01-16,New Pamela,7 days,2025-03-26,Converted
5680,16295,Interior Painting,1563.64,2024-01-18,South Allisonside,2 days,2025-07-15,Expired
5681,22320,Electrical Work,1933.03,2024-08-19,Pricefort,5 days,2025-08-10,Pending
5682,36322,Plumbing,4567.58,2024-06-30,West Austinfort,6 days,2024-11-03,Closed
5683,13465,Electrical Work,2816.59,2023-10-11,Watsonfurt,2 days,2025-07-14,Closed
5684,23354,Interior Painting,3088.03,2024-01-29,Alisonborough,5 days,2025-01-30,Converted
5685,17307,Interior Painting,2651.28,2024-02-27,Amystad,6 days,2025-08-16,Closed
5686,39637,Plumbing,4162.27,2024-09-12,Palmerbury,1 days,2025-08-07,Converted
5687,14445,Plumbing,1826.0,2023-12-12,Frederickchester,1 days,2025-03-22,Pending
5688,44365,Plumbing,2430.13,2024-07-09,Samanthastad,4 days,2025-02-01,Expired
5689,33973,HVAC Installation,2682.04,2023-12-29,Lake John,1 days,2025-06-05,Pending
5690,41994,Electrical Work,2161.0,2024-07-19,Vasquezfort,3 days,2025-01-29,Pending
5691,12467,Electrical Work,4453.72,2023-09-20,Chelseaville,5 days,2024-11-20,Closed
5692,37399,Roof Repair,2286.65,2023-12-10,West Carlosfort,7 days,2024-12-19,Expired
5693,7581,Interior Painting,2534.3,2024-06-20,Lake Shawnstad,6 days,2024-11-30,Converted
5694,48784,Electrical Work,4992.96,2023-11-25,New Wesleyton,3 days,2024-12-30,Converted
5695,44635,Roof Repair,1557.44,2023-12-07,Myersbury,2 days,2024-12-25,Converted
5696,85,Interior Painting,4363.05,2023-10-31,North Rachelfort,5 days,2024-09-30,Expired
5697,44478,Interior Painting,1996.42,2023-09-24,East Megan,5 days,2025-02-01,Closed
5698,10682,Electrical Work,3262.09,2024-07-16,Valentineville,1 days,2025-09-03,Expired
5699,31932,HVAC Installation,4975.13,2024-01-19,Meganton,2 days,2025-01-23,Pending
5700,40167,Plumbing,2889.59,2023-12-14,New Tammystad,7 days,2025-08-15,Closed
5701,26864,Interior Painting,3341.39,2024-05-30,Saratown,3 days,2025-03-28,Closed
5702,37849,HVAC Installation,3036.56,2024-03-23,Cowanland,3 days,2025-02-04,Closed
5703,34359,Roof Repair,4745.84,2023-10-06,North Michael,6 days,2025-03-22,Pending
5704,3799,Electrical Work,899.71,2024-07-12,Lake Alice,7 days,2025-06-15,Converted
5705,19800,HVAC Installation,1388.43,2024-09-15,Anthonyfurt,5 days,2024-12-23,Closed
5706,21379,Interior Painting,919.36,2024-07-06,Michaelfurt,2 days,2025-01-06,Closed
5707,19022,Interior Painting,4387.42,2024-06-16,West Donnatown,1 days,2024-10-21,Expired
5708,46829,Interior Painting,1900.06,2024-02-09,Annettetown,4 days,2025-02-16,Pending
5709,14901,Electrical Work,1441.12,2023-11-11,Brandonberg,6 days,2025-01-10,Pending
5710,41550,HVAC Installation,4308.73,2023-10-11,Brownborough,1 days,2025-03-18,Closed
5711,30487,Roof Repair,4157.29,2024-08-24,West Tina,7 days,2025-03-07,Pending
5712,33721,Electrical Work,3274.39,2024-08-13,Lake Mark,1 days,2024-12-02,Closed
5713,41821,Roof Repair,734.49,2024-05-20,Paulburgh,7 days,2025-04-10,Expired
5714,48239,Plumbing,1418.4,2024-04-07,North Nicholasport,5 days,2025-05-01,Closed
5715,32465,Roof Repair,3567.78,2024-07-16,Jonstad,2 days,2025-01-27,Closed
5716,38822,Interior Painting,4329.84,2024-07-03,New Seth,6 days,2024-11-15,Expired
5717,2009,HVAC Installation,3687.0,2024-03-20,Colemouth,1 days,2025-03-14,Pending
5718,45747,Roof Repair,4752.47,2023-10-01,Bellchester,6 days,2025-01-20,Pending
5719,26751,Interior Painting,2522.58,2024-04-19,Robertchester,5 days,2025-03-11,Pending
5720,18646,Plumbing,4443.7,2023-09-23,Curtischester,7 days,2024-11-16,Closed
5721,8525,Roof Repair,2622.26,2024-04-17,Heatherfort,3 days,2024-11-02,Converted
5722,43044,Electrical Work,4470.8,2023-10-25,Monicaport,6 days,2025-04-12,Pending
5723,30757,Interior Painting,4774.66,2024-03-04,New Brandonland,4 days,2025-08-09,Expired
5724,15094,Plumbing,1196.48,2024-06-19,East Marc,7 days,2025-02-20,Pending
5725,3316,Electrical Work,2516.3,2024-02-01,Richardport,5 days,2025-05-15,Expired
5726,19465,Roof Repair,3177.0,2023-10-04,Johnsonhaven,5 days,2025-04-19,Converted
5727,9723,Roof Repair,4728.36,2024-02-11,Marshallshire,4 days,2024-12-19,Converted
5728,14352,Plumbing,1670.76,2024-06-29,Jenniferburgh,2 days,2025-07-26,Closed
5729,26775,Electrical Work,1190.87,2024-02-17,Lake Mary,5 days,2025-01-29,Converted
5730,47677,HVAC Installation,1070.63,2023-09-27,South Kevinfurt,2 days,2025-07-25,Closed
5731,1161,Interior Painting,3825.16,2023-11-21,Port Matthewbury,5 days,2025-09-06,Closed
5732,35834,HVAC Installation,3101.87,2023-10-25,Jorgebury,6 days,2025-02-13,Expired
5733,48143,HVAC Installation,1632.38,2024-03-23,Port Craigberg,1 days,2025-06-14,Closed
5734,30701,Interior Painting,3347.61,2024-08-25,Devinton,4 days,2024-11-29,Pending
5735,29511,Electrical Work,2770.5,2024-02-22,Johnfort,1 days,2025-04-03,Pending
5736,46789,Electrical Work,999.36,2024-01-15,South Robertland,3 days,2025-04-22,Expired
5737,48473,Interior Painting,3107.93,2024-02-26,Masonfurt,3 days,2025-08-01,Pending
5738,37349,Interior Painting,3977.22,2024-09-12,South Kristenborough,2 days,2025-04-21,Converted
5739,19490,Plumbing,3851.27,2023-09-27,Perrybury,4 days,2025-09-10,Closed
5740,36894,Roof Repair,2475.12,2023-11-30,Bradleystad,7 days,2025-03-23,Closed
5741,10332,Interior Painting,924.09,2023-09-20,Hoffmanside,7 days,2025-06-17,Converted
5742,33538,Interior Painting,4228.47,2024-03-29,Port Debra,4 days,2024-12-26,Expired
5743,19034,Roof Repair,4399.86,2024-06-26,Walkermouth,3 days,2025-05-30,Expired
5744,42368,Electrical Work,4557.45,2024-03-12,Janeberg,1 days,2025-04-01,Expired
5745,39950,Electrical Work,2587.42,2024-03-02,North Jasminetown,7 days,2025-05-28,Expired
5746,31994,Roof Repair,4031.76,2024-04-23,Mercerbury,4 days,2025-04-26,Pending
5747,1554,Electrical Work,3155.04,2024-07-02,West Matthew,5 days,2025-05-11,Converted
5748,9613,Electrical Work,752.19,2024-02-29,North April,7 days,2024-11-27,Expired
5749,44179,Plumbing,3833.98,2023-11-07,Yolandaberg,1 days,2024-10-07,Closed
5750,25422,Roof Repair,1012.37,2023-10-09,Vasquezton,3 days,2024-10-20,Expired
5751,39209,Electrical Work,599.08,2024-07-02,Port Melanie,5 days,2024-11-20,Converted
5752,30642,HVAC Installation,1714.46,2023-09-21,Kristabury,3 days,2025-01-20,Pending
5753,9626,Electrical Work,1213.15,2024-02-25,Howardhaven,7 days,2024-12-23,Converted
5754,13488,Interior Painting,2502.75,2024-08-25,Paulmouth,6 days,2024-12-02,Converted
5755,35206,Plumbing,4450.68,2024-05-29,East Michaelchester,1 days,2025-05-30,Closed
5756,29597,HVAC Installation,833.89,2024-02-18,Kramerchester,4 days,2024-12-29,Pending
5757,20412,Electrical Work,3918.8,2023-11-05,Gregorytown,1 days,2025-02-24,Pending
5758,49564,HVAC Installation,4920.95,2024-07-23,Collierfurt,1 days,2024-12-15,Converted
5759,7336,Electrical Work,3039.53,2024-03-29,North Morganport,5 days,2025-01-03,Pending
5760,27173,Interior Painting,3755.1,2023-11-10,South Rachelmouth,5 days,2025-07-10,Expired
5761,23789,Plumbing,3707.62,2024-02-18,West Ronald,5 days,2024-10-20,Pending
5762,47855,Plumbing,4434.27,2023-11-20,Johnsonmouth,1 days,2025-01-30,Closed
5763,21622,HVAC Installation,4400.85,2023-10-17,Hortonhaven,6 days,2025-02-05,Closed
5764,34469,Electrical Work,1164.46,2024-04-24,East Justin,3 days,2025-09-10,Pending
5765,2852,Electrical Work,1965.5,2024-08-21,Sanderschester,3 days,2025-09-05,Pending
5766,2051,HVAC Installation,1139.09,2023-09-25,Melissamouth,7 days,2025-01-28,Converted
5767,12216,Interior Painting,4401.94,2023-12-08,South Jamieberg,1 days,2024-10-24,Converted
5768,13883,Plumbing,4637.65,2024-04-07,South Kylie,7 days,2024-12-29,Expired
5769,46880,Interior Painting,1643.18,2024-01-17,Lake Michael,4 days,2025-09-09,Pending
5770,47598,Interior Painting,1089.88,2024-01-31,Port Karina,7 days,2025-06-04,Converted
5771,16497,Roof Repair,1077.24,2024-06-20,Port Cynthia,6 days,2025-08-18,Pending
5772,5765,Plumbing,4516.37,2024-08-05,Salazarshire,3 days,2024-11-09,Converted
5773,24682,Roof Repair,2983.0,2024-01-24,Johnnyview,7 days,2025-05-06,Pending
5774,30427,Plumbing,4509.89,2024-06-25,Wadehaven,6 days,2024-11-05,Pending
5775,34416,Plumbing,2114.1,2023-09-20,Justinbury,1 days,2024-12-13,Expired
5776,32882,Electrical Work,2720.18,2024-09-14,North Laurachester,1 days,2025-05-04,Expired
5777,20071,Roof Repair,3916.55,2024-05-18,Barnesside,6 days,2025-06-25,Closed
5778,11322,Interior Painting,4564.53,2024-06-11,West Kristina,2 days,2025-07-12,Pending
5779,17111,Roof Repair,764.97,2023-10-17,Masonfurt,5 days,2025-07-26,Expired
5780,1586,Interior Painting,3277.09,2024-05-04,Spearsport,5 days,2025-03-25,Converted
5781,3147,Roof Repair,2277.57,2024-07-10,Port Tony,3 days,2024-12-06,Closed
5782,32945,Roof Repair,2828.59,2024-09-07,Codyhaven,2 days,2025-08-22,Pending
5783,382,Plumbing,668.77,2024-06-07,Harmonshire,7 days,2024-11-02,Expired
5784,27539,HVAC Installation,3637.57,2024-05-21,Ellistown,5 days,2024-12-03,Pending
5785,9252,Plumbing,3774.73,2024-05-26,Florestown,6 days,2024-10-22,Closed
5786,5146,Plumbing,2249.57,2024-04-22,Williamsview,3 days,2025-08-27,Expired
5787,2929,HVAC Installation,2575.74,2024-03-22,Ramirezbury,1 days,2025-07-24,Pending
5788,48432,Electrical Work,4504.48,2023-09-30,South Amanda,2 days,2024-11-12,Converted
5789,17403,Roof Repair,4512.75,2023-11-15,Carlsonmouth,4 days,2025-03-05,Pending
5790,16848,Electrical Work,1772.64,2024-04-21,West Stephen,6 days,2025-05-29,Converted
5791,31573,Plumbing,1450.29,2023-11-04,Port Kirk,7 days,2024-12-27,Pending
5792,362,Interior Painting,3461.47,2024-04-22,New Miguelburgh,5 days,2024-12-24,Pending
5793,25896,HVAC Installation,3095.6,2024-02-22,Courtneyview,7 days,2025-04-04,Closed
5794,35933,HVAC Installation,2376.7,2024-01-10,South Michaelfurt,7 days,2025-03-08,Expired
5795,43446,Interior Painting,4718.94,2024-07-06,West Laurieview,1 days,2024-11-01,Expired
5796,16156,Roof Repair,2257.49,2024-07-25,Lake Jeffrey,6 days,2025-06-19,Pending
5797,1958,HVAC Installation,4539.15,2024-06-29,Reedstad,2 days,2025-08-16,Pending
5798,2647,HVAC Installation,4244.55,2024-09-05,Susanstad,7 days,2025-05-13,Converted
5799,3266,Plumbing,1935.23,2023-12-07,West Michaelview,1 days,2024-09-21,Expired
5800,7918,Plumbing,3126.55,2023-12-07,Port Michael,3 days,2025-09-01,Expired
5801,45413,Electrical Work,832.28,2024-01-18,Lake Samuelmouth,7 days,2025-08-31,Converted
5802,32449,Electrical Work,1595.76,2023-09-17,Vasquezborough,4 days,2025-02-28,Converted
5803,28173,Electrical Work,4890.48,2023-11-23,Ericshire,3 days,2025-04-07,Closed
5804,43762,Roof Repair,2628.77,2024-04-03,Port Jerry,6 days,2024-09-17,Expired
5805,3958,Roof Repair,1847.47,2024-09-03,Stoneberg,1 days,2025-08-07,Closed
5806,27806,Plumbing,3869.48,2023-11-01,South William,4 days,2025-02-18,Pending
5807,46123,Roof Repair,4149.99,2024-04-26,Walterberg,2 days,2024-12-22,Expired
5808,32068,Plumbing,4344.94,2024-07-30,Port Josephfurt,6 days,2024-11-26,Pending
5809,6056,Plumbing,4963.21,2024-09-10,Wellschester,5 days,2024-10-13,Converted
5810,42743,Interior Painting,4898.77,2024-07-26,New Christina,6 days,2025-03-18,Expired
5811,30699,HVAC Installation,2899.29,2024-08-24,Adamsbury,7 days,2024-10-04,Closed
5812,33272,HVAC Installation,2864.1,2024-07-26,West Shannonland,2 days,2025-08-09,Expired
5813,40685,Electrical Work,2774.56,2024-07-05,Hallfurt,7 days,2025-06-15,Converted
5814,14675,Plumbing,1378.59,2023-11-17,North Elizabethtown,2 days,2025-08-06,Pending
5815,3580,Roof Repair,2268.45,2024-01-08,Jamiestad,3 days,2025-05-28,Converted
5816,33235,HVAC Installation,3920.38,2024-01-26,Schmidtberg,4 days,2025-01-09,Pending
5817,23577,Interior Painting,1400.65,2024-04-17,Patelton,3 days,2024-09-25,Closed
5818,19817,Interior Painting,1390.79,2024-06-07,North Stephanie,7 days,2025-05-03,Pending
5819,45747,Plumbing,2912.07,2023-11-22,Port Michele,5 days,2025-07-09,Closed
5820,7217,Electrical Work,3170.3,2024-03-07,Nancymouth,1 days,2025-02-09,Closed
5821,30608,HVAC Installation,1985.3,2024-09-01,East James,5 days,2024-09-22,Converted
5822,43425,Interior Painting,2168.38,2023-12-09,West Brandi,6 days,2025-06-04,Expired
5823,1293,Interior Painting,3890.55,2024-08-15,New Keithton,2 days,2025-04-28,Expired
5824,40173,Roof Repair,979.34,2024-05-29,West Danielle,2 days,2025-01-28,Expired
5825,10337,Interior Painting,2441.72,2024-01-13,South Jason,7 days,2024-12-05,Expired
5826,34935,Roof Repair,4323.13,2024-04-11,Sarahmouth,1 days,2025-05-09,Converted
5827,3650,Electrical Work,3406.87,2024-01-15,Lake Katie,2 days,2025-09-07,Pending
5828,348,HVAC Installation,2723.6,2024-07-11,Lisaborough,7 days,2024-12-17,Closed
5829,36784,Electrical Work,4307.97,2023-11-25,West Ryanport,7 days,2025-05-26,Closed
5830,33974,Roof Repair,1967.02,2023-09-30,Charlesmouth,6 days,2025-03-19,Converted
5831,492,HVAC Installation,4799.88,2024-02-25,Gonzalesfurt,4 days,2024-10-16,Pending
5832,32877,Roof Repair,2485.03,2023-10-25,South Lauren,2 days,2025-03-31,Expired
5833,32307,Plumbing,1123.43,2023-09-27,New Melissaburgh,4 days,2025-07-10,Closed
5834,23507,Plumbing,1854.08,2024-03-13,East Stephenfurt,4 days,2025-01-09,Pending
5835,43159,Electrical Work,539.25,2024-07-02,Matthewport,1 days,2025-03-11,Pending
5836,19686,HVAC Installation,1031.75,2024-03-20,Angelaside,7 days,2025-05-04,Closed
5837,38998,Roof Repair,1395.65,2024-02-06,West John,5 days,2024-11-27,Closed
5838,32101,Interior Painting,1332.36,2024-03-07,Lake Erikburgh,4 days,2025-07-21,Pending
5839,13306,Plumbing,631.12,2024-05-05,New Stephanie,7 days,2025-07-26,Pending
5840,39684,Electrical Work,2994.54,2024-09-01,Duncanton,6 days,2024-12-31,Converted
5841,9200,Plumbing,943.65,2023-11-08,Walkerside,6 days,2024-10-23,Pending
5842,12068,Interior Painting,1321.13,2023-10-02,Carlsonshire,5 days,2024-10-20,Closed
5843,29563,Plumbing,1069.73,2024-08-01,North Jacqueline,7 days,2025-06-19,Closed
5844,14334,Plumbing,2926.07,2024-07-14,Johnsonfurt,3 days,2025-02-04,Converted
5845,8521,HVAC Installation,4077.63,2023-10-29,Lopezfurt,7 days,2025-06-02,Pending
5846,29052,Interior Painting,2429.22,2024-08-10,West Pamela,6 days,2024-09-18,Converted
5847,6453,Electrical Work,567.2,2024-02-23,West Rodney,6 days,2025-06-17,Expired
5848,41151,HVAC Installation,2188.7,2024-06-30,Ramirezhaven,4 days,2024-11-07,Converted
5849,11662,Roof Repair,4586.77,2024-04-18,Hollyberg,6 days,2025-03-27,Pending
5850,40561,HVAC Installation,648.98,2024-02-09,North Aliciaberg,2 days,2025-04-17,Converted
5851,35803,Electrical Work,2669.29,2023-11-03,East William,7 days,2025-03-04,Closed
5852,17890,Roof Repair,1886.95,2024-02-11,Charlesburgh,4 days,2025-07-08,Closed
5853,8299,Interior Painting,3605.38,2024-06-08,New Deanburgh,1 days,2025-06-25,Expired
5854,3489,Plumbing,4808.6,2024-08-21,Franktown,6 days,2024-12-07,Pending
5855,24082,HVAC Installation,3702.15,2024-03-20,East Davebury,5 days,2025-06-30,Expired
5856,24699,HVAC Installation,1194.5,2024-06-01,Lake Erika,6 days,2025-04-29,Closed
5857,4086,Interior Painting,2114.29,2023-11-15,Port Patrickburgh,5 days,2024-11-09,Converted
5858,8651,Electrical Work,4278.55,2024-08-28,North Susanmouth,4 days,2025-06-09,Converted
5859,3107,Plumbing,1957.52,2023-10-12,Bennettchester,4 days,2025-02-08,Closed
5860,19262,Plumbing,919.11,2024-09-14,North Todd,5 days,2025-01-20,Expired
5861,36361,Plumbing,4821.92,2024-02-11,Hillstad,4 days,2025-04-27,Expired
5862,21133,Roof Repair,4380.98,2024-04-04,New Natashaburgh,5 days,2024-09-22,Closed
5863,24059,Plumbing,2292.65,2024-04-14,Lake Edwardside,3 days,2025-09-02,Pending
5864,37572,Plumbing,4536.88,2023-11-27,Ortizshire,5 days,2025-07-25,Expired
5865,31180,Roof Repair,2475.91,2023-12-17,North Kyle,2 days,2024-10-26,Converted
5866,47753,Roof Repair,888.44,2023-09-28,Burtonhaven,1 days,2025-08-24,Closed
5867,1253,Interior Painting,915.52,2024-04-01,Barnesbury,3 days,2025-09-15,Pending
5868,21573,Interior Painting,647.25,2024-04-05,Port Melinda,4 days,2025-03-03,Converted
5869,40372,Interior Painting,2777.8,2024-09-14,Port Kennethside,3 days,2025-01-06,Converted
5870,42202,Roof Repair,2228.29,2024-05-17,New Eric,2 days,2025-07-17,Converted
5871,8218,HVAC Installation,4090.55,2024-02-24,South Laura,7 days,2025-09-06,Expired
5872,34875,Interior Painting,1070.06,2023-12-05,Fullerfort,2 days,2025-03-02,Converted
5873,28718,Roof Repair,3178.14,2024-04-07,Williamside,7 days,2025-01-25,Closed
5874,43526,Plumbing,2095.45,2024-07-21,Port Jacqueline,6 days,2025-04-07,Converted
5875,35823,Roof Repair,2108.89,2024-01-30,South Richardshire,3 days,2024-10-09,Closed
5876,41008,Electrical Work,2681.08,2024-06-24,Ramirezton,6 days,2025-02-27,Expired
5877,38772,HVAC Installation,644.8,2023-09-19,Amyshire,4 days,2025-06-09,Expired
5878,4125,Electrical Work,888.01,2023-11-05,Fishermouth,6 days,2024-09-24,Converted
5879,18530,Plumbing,3215.51,2023-11-24,South Stephen,7 days,2025-09-06,Converted
5880,1529,Plumbing,573.65,2024-01-10,East Karlland,6 days,2025-01-25,Pending
5881,27306,Electrical Work,4668.09,2024-01-04,North Jay,1 days,2025-05-01,Closed
5882,7721,Roof Repair,1692.71,2024-01-24,Port Rodneyville,3 days,2024-10-12,Closed
5883,7787,Interior Painting,2132.68,2024-01-17,Lake Whitney,2 days,2025-06-16,Closed
5884,9976,Electrical Work,4827.46,2023-09-19,Calhounport,7 days,2025-04-19,Closed
5885,12257,Roof Repair,3213.21,2024-09-08,Biancachester,5 days,2024-11-13,Closed
5886,17563,Roof Repair,3024.16,2023-11-10,North Matthew,2 days,2025-05-12,Pending
5887,31699,Interior Painting,3941.69,2023-11-13,West Jasmine,3 days,2025-03-14,Closed
5888,29970,Plumbing,1840.2,2024-03-15,South Jenniferchester,2 days,2024-11-29,Pending
5889,13875,HVAC Installation,1004.25,2024-07-05,Andreachester,1 days,2024-11-01,Expired
5890,10330,HVAC Installation,1117.57,2024-01-29,Silvaville,4 days,2025-07-24,Expired
5891,19534,HVAC Installation,2534.27,2023-12-16,North Karenland,2 days,2025-01-30,Converted
5892,6413,Interior Painting,1409.3,2024-09-09,Smithhaven,6 days,2025-03-04,Closed
5893,45021,Interior Painting,2433.1,2024-04-02,Perryland,7 days,2025-09-02,Converted
5894,43414,HVAC Installation,2094.55,2024-09-07,New Mistybury,6 days,2025-05-08,Converted
5895,6769,Roof Repair,2273.3,2024-02-08,Lake Jeffrey,7 days,2025-06-18,Closed
5896,4517,Interior Painting,2848.28,2024-04-04,Juanshire,6 days,2025-09-02,Converted
5897,33964,Electrical Work,669.46,2024-01-08,Santosmouth,6 days,2025-07-07,Converted
5898,13342,Plumbing,3447.46,2023-11-11,Jessicaburgh,3 days,2024-11-06,Converted
5899,15921,Electrical Work,3130.03,2024-04-19,Meganmouth,3 days,2025-06-10,Converted
5900,40861,Electrical Work,4448.01,2023-11-18,East Vincent,3 days,2025-08-30,Converted
5901,5207,Roof Repair,1703.71,2023-10-13,Davidburgh,5 days,2025-04-12,Expired
5902,25642,Roof Repair,1794.41,2024-09-12,Cherylstad,1 days,2025-01-29,Expired
5903,25015,Electrical Work,1778.02,2024-08-03,New Mary,4 days,2025-07-09,Converted
5904,45384,Plumbing,2034.22,2024-03-08,South Elizabethshire,2 days,2025-09-12,Closed
5905,32995,Plumbing,2312.54,2024-02-18,Lake Samuel,3 days,2024-11-09,Pending
5906,20333,Electrical Work,4764.27,2024-03-19,Richardshire,4 days,2025-07-09,Closed
5907,28728,HVAC Installation,3087.4,2023-12-11,Carrietown,7 days,2025-02-24,Converted
5908,38047,Interior Painting,843.56,2024-09-10,Gallagherland,5 days,2025-03-07,Converted
5909,32636,Electrical Work,1081.95,2023-11-14,Laurachester,1 days,2024-12-07,Pending
5910,41531,HVAC Installation,4868.12,2024-05-25,East Elizabethland,4 days,2025-08-30,Closed
5911,24981,Interior Painting,1057.08,2023-11-09,Sanfordbury,5 days,2024-11-04,Closed
5912,46884,Plumbing,2828.13,2024-04-25,North Scottchester,4 days,2025-06-01,Pending
5913,44222,Interior Painting,3078.32,2024-04-20,West Melindaburgh,4 days,2025-05-25,Closed
5914,31935,Plumbing,4603.38,2024-02-01,Michaelberg,7 days,2025-08-26,Expired
5915,48203,Plumbing,934.81,2023-10-14,Rhondaberg,1 days,2024-12-06,Pending
5916,49581,Plumbing,1622.93,2024-05-14,Sherryfurt,5 days,2025-03-11,Converted
5917,29396,Roof Repair,3227.14,2023-12-05,Stephanieside,4 days,2024-12-08,Closed
5918,20519,Electrical Work,892.39,2023-12-19,Davidville,5 days,2025-06-21,Converted
5919,7937,Plumbing,4199.4,2024-06-06,Santiagoview,5 days,2025-02-15,Pending
5920,32341,HVAC Installation,1172.58,2023-11-17,Nelsonmouth,2 days,2025-05-21,Expired
5921,47698,HVAC Installation,3994.28,2024-04-23,West Joshuahaven,6 days,2025-04-25,Closed
5922,47363,Electrical Work,2377.78,2023-11-20,Port Sandra,7 days,2025-02-09,Pending
5923,13725,HVAC Installation,2925.48,2024-07-27,Port Cameronland,6 days,2025-05-07,Converted
5924,42876,Plumbing,2102.93,2024-04-08,Bellfurt,5 days,2025-06-27,Closed
5925,29959,HVAC Installation,660.19,2023-09-24,Scottside,4 days,2025-09-05,Expired
5926,45802,HVAC Installation,3422.05,2023-11-21,West Martinchester,6 days,2025-03-25,Closed
5927,41625,Interior Painting,1890.62,2023-11-06,South Anthonychester,6 days,2025-07-14,Closed
5928,3414,Interior Painting,1048.35,2024-02-12,Annamouth,1 days,2025-08-13,Converted
5929,45342,HVAC Installation,1393.92,2023-10-15,Lake Williamshire,6 days,2024-11-11,Pending
5930,49431,Interior Painting,4078.73,2024-07-24,West Duane,5 days,2025-08-25,Pending
5931,11472,Plumbing,3237.03,2024-06-08,Lake Johnton,1 days,2024-10-31,Pending
5932,30461,Electrical Work,908.33,2024-06-11,New Amanda,5 days,2025-04-10,Closed
5933,37632,Roof Repair,4973.63,2023-11-04,North Brandychester,7 days,2025-02-09,Closed
5934,24317,HVAC Installation,4726.61,2023-12-02,South Theresa,6 days,2024-10-08,Pending
5935,47064,Plumbing,1401.99,2024-04-01,Douglasborough,6 days,2025-07-09,Closed
5936,41673,Plumbing,2147.99,2024-02-15,Angelaport,6 days,2024-11-17,Pending
5937,17072,Roof Repair,3416.34,2023-09-22,New Patricia,6 days,2024-11-07,Closed
5938,31961,Electrical Work,2331.21,2024-05-02,South Kevin,4 days,2024-11-20,Expired
5939,13458,Plumbing,4893.37,2024-07-19,New Philipmouth,6 days,2025-06-27,Expired
5940,17,Plumbing,4977.43,2023-10-07,Santosshire,3 days,2025-08-19,Converted
5941,27128,HVAC Installation,1798.37,2024-02-21,Baileyshire,5 days,2024-12-25,Pending
5942,6344,Interior Painting,2149.31,2024-06-23,West Cynthia,6 days,2025-02-28,Expired
5943,7710,Interior Painting,2679.26,2024-05-21,North Michaelborough,1 days,2025-01-21,Closed
5944,22893,Electrical Work,780.54,2024-05-15,New Emilymouth,1 days,2024-12-30,Converted
