Company ID,Company Name,Service Areas,Pricing Models,Competitor Pricing,Service Offerings,Client Feedback and Ratings
8115,Jones Ltd,Holmesville,Subscription,Competitive,"Electrical, Maintenance",4.1
8116,Lowe-West,"West Maria, Port Brendanchester",Project-based,Higher,"Plumbing, HVAC, Maintenance",3.5
8117,"Kelly, Williams and Dawson",Kimberlyborough,Project-based,Competitive,"HVAC, Painting, Electrical, Cleaning, Plumbing",3.2
8118,Werner-Blair,New Jody,Project-based,Competitive,"Maintenance, Cleaning",3.4
8119,"Todd, Lester and Torres","Port Shannonfort, Anitaside",Project-based,Higher,Roofing,4.3
8120,"Murphy, Bailey and Wall","Elizabethville, Ortizhaven",Flat Rate,Competitive,"Electrical, Plumbing, Cleaning, Maintenance, HVAC",4.1
8121,Marsh-Lawrence,"Sloanbury, Lake Robertton, Michelleport",Subscription,Lower,"Renovation, Roofing",3.9
8122,"Lewis, Peters and Monroe","Tateview, Wendymouth, New Kristopherborough",Flat Rate,Lower,"Plumbing, Renovation",4.5
8123,Williams Group,"Velasquezville, Greenport",Subscription,Lower,"Maintenance, Plumbing, Roofing, Painting, HVAC",4.3
8124,"Taylor, Brown and Parker",New Williamborough,Subscription,Competitive,"Electrical, Painting",3.0
8125,Davis PLC,"Brownburgh, New Ericton, Kellyburgh",Project-based,Higher,Plumbing,3.6
8126,Ramirez-Wells,"Port Charles, Michellefurt",Project-based,Competitive,"Painting, Cleaning",3.4
8127,Hatfield-Campos,Brewermouth,Project-based,Higher,"Plumbing, Renovation",4.5
8128,Sutton-Bailey,Jaredburgh,Project-based,Lower,"Cleaning, Plumbing, Electrical",4.3
8129,Garcia Ltd,Taylorstad,Flat Rate,Competitive,"Roofing, Renovation, Maintenance, Electrical",4.2
8130,Lynn-Daniels,"Toddport, Heidichester, West Kristina",Hourly Rate,Competitive,"Painting, Roofing, HVAC",4.2
8131,Contreras-Donovan,"Port Kevin, Emilybury, New Victoriamouth",Subscription,Higher,"Plumbing, Renovation, Painting",4.0
8132,Novak LLC,"New Darlenefurt, South Jenniferville",Hourly Rate,Competitive,"HVAC, Plumbing",3.9
8133,Poole LLC,"South Michelle, Port Derrickhaven, New Keith",Project-based,Lower,"Roofing, HVAC, Maintenance",4.4
8134,Ruiz-Martin,"Jessicaland, Joycetown",Subscription,Higher,Electrical,4.1
8135,"Rodriguez, Stone and Malone","East Jamesfort, North Danielleton",Hourly Rate,Lower,"Renovation, HVAC, Electrical, Roofing, Maintenance",4.5
8136,Brown and Sons,"Hahnville, Stacytown",Project-based,Competitive,"Electrical, Maintenance, HVAC, Cleaning, Renovation",3.5
8137,Anderson Inc,Jeremyhaven,Flat Rate,Lower,"Plumbing, HVAC, Electrical",3.9
8138,Harrell-Leonard,"Myerston, Mcdonaldbury",Flat Rate,Competitive,"Cleaning, Electrical",3.9
8139,Oconnell Inc,"Thomasview, Lake Shawnaland",Flat Rate,Higher,"Painting, Cleaning, Plumbing, Roofing, Maintenance",4.6
8140,Graham LLC,"North Ryanside, South Billy",Project-based,Competitive,HVAC,3.5
8141,"James, Rios and Prince",West Richard,Hourly Rate,Lower,"Plumbing, Renovation",4.2
8142,Fletcher Ltd,"Harrisonfort, Rileymouth, Christinaport",Hourly Rate,Competitive,"Maintenance, Painting, Electrical",3.6
8143,"Conrad, Stewart and Smith","Blairbury, Lake Thomasburgh, Calderonmouth",Project-based,Higher,"Renovation, Cleaning, Electrical",3.0
8144,"Hernandez, Gamble and Sullivan",New Frank,Flat Rate,Higher,"Cleaning, Maintenance, Renovation, Electrical",4.2
8145,Adams Ltd,"West Dawn, Floresshire",Flat Rate,Competitive,"Electrical, Cleaning, Painting",3.4
8146,Howell-Meza,"Youngton, New Amberview",Hourly Rate,Competitive,"HVAC, Renovation, Maintenance, Electrical",4.3
8147,Carr-White,"Lake Michelebury, Garciaborough",Flat Rate,Competitive,"Renovation, HVAC, Electrical, Cleaning, Maintenance",5.0
8148,Chapman PLC,Pamelamouth,Subscription,Lower,"Electrical, Plumbing",3.8
8149,"Walker, Melendez and Ryan",Choiberg,Hourly Rate,Higher,"Roofing, HVAC, Plumbing, Renovation",3.3
8150,Stuart-Clarke,"East Benjamin, North Andrea, South Ambertown",Subscription,Lower,Electrical,5.0
8151,Rogers Ltd,Lisachester,Subscription,Higher,"Plumbing, Maintenance, Renovation",4.4
8152,Davis-Daniels,"East Cathy, North Danielfort",Flat Rate,Competitive,"Plumbing, Electrical, Renovation, Roofing",4.8
8153,Cole-Smith,"Oconnorshire, Danielstad, Warrenhaven",Flat Rate,Higher,"Plumbing, Cleaning, HVAC, Painting, Maintenance",3.9
8154,Tucker-Bell,"New Rachel, West Tylerside, Torresside",Flat Rate,Higher,"Renovation, Roofing, Maintenance",3.8
8155,Vega-Trujillo,"Kaylashire, West Stacyside, Smithberg",Flat Rate,Higher,"Painting, HVAC, Electrical",3.3
8156,Joseph and Sons,"North Kaitlyn, Aaronton",Hourly Rate,Lower,"Painting, Renovation",4.5
8157,Hawkins-Lopez,Lake Leonardville,Hourly Rate,Lower,"Maintenance, Roofing, Painting",3.8
8158,George-Conway,Bryanburgh,Project-based,Competitive,Electrical,4.0
8159,Bird-Gibson,"Amandafort, New Luismouth",Subscription,Competitive,"Electrical, Renovation, Maintenance, HVAC",3.7
8160,Russell and Sons,South Lisaville,Project-based,Higher,"HVAC, Renovation",3.5
8161,"Martin, Garcia and Oconnor","Kevinmouth, North Lauraton",Project-based,Competitive,HVAC,3.6
8162,"Cook, Zhang and Nelson",Campbellburgh,Flat Rate,Lower,"Plumbing, Maintenance",4.7
8163,"Jordan, Fitzgerald and Lawrence","South Julieton, Port Phillip, East Angela",Project-based,Competitive,"Painting, Roofing, Cleaning, HVAC, Renovation",3.3
8164,"Long, Holland and Hunt","West Johnfurt, Brandichester, South Kathryn",Flat Rate,Lower,"Painting, Renovation, Electrical, HVAC, Plumbing",4.6
8165,Walker Ltd,Andresmouth,Flat Rate,Competitive,Roofing,5.0
8166,"Webster, Aguirre and Wiley",East Sharon,Subscription,Higher,"Renovation, Painting, Maintenance, Electrical, HVAC",4.3
8167,"Fisher, Clark and Cruz","East Seanfort, Kellyborough, West Gary",Project-based,Lower,"Plumbing, HVAC, Roofing, Maintenance, Cleaning",4.1
8168,"Schmidt, Richardson and Perez","Kristinafurt, South Tammy",Flat Rate,Lower,"HVAC, Maintenance, Renovation, Painting",4.3
8169,Barrett-Perkins,"Lynchstad, Timothychester, Petersonmouth",Project-based,Competitive,"Painting, Maintenance, Roofing",3.7
8170,"Stokes, Stewart and Leon","Romeroborough, Munozfort",Project-based,Competitive,"Cleaning, Renovation, Plumbing, Maintenance",3.5
8171,Rice Ltd,"Ricardomouth, Hughesfort",Flat Rate,Lower,"HVAC, Cleaning, Painting",3.2
8172,Adams-Love,"Johnnyport, Port Catherine, Lisaside",Flat Rate,Competitive,"Painting, Electrical",3.1
8173,Salinas PLC,Christinemouth,Subscription,Competitive,"Renovation, Roofing",3.6
8174,Vazquez and Sons,"Amandamouth, Wintersborough, Campbellville",Project-based,Lower,"Electrical, Painting",5.0
8175,Maldonado-Wright,"Adamsbury, Walkerland, Brownberg",Project-based,Lower,"Plumbing, Renovation",3.4
8176,"Cook, Keller and Baker","North Jeremy, Wrightberg, New Andrea",Flat Rate,Competitive,"Roofing, Plumbing, HVAC, Renovation",4.6
8177,"Brown, Smith and Foster",New Jillianstad,Hourly Rate,Competitive,"Maintenance, Cleaning",3.4
8178,"Mcbride, Todd and Coleman","West Williamborough, Port Travis",Flat Rate,Higher,"Electrical, Renovation, HVAC, Painting, Plumbing",5.0
8179,Ayers Ltd,Taylorbury,Flat Rate,Lower,"Electrical, Maintenance",4.7
8180,"Patel, Hall and Reyes",New Shannonport,Flat Rate,Competitive,"Maintenance, Renovation",3.6
8181,"Wilson, Keller and Terrell","Cindyshire, Christopherfurt, South Michael",Subscription,Competitive,Plumbing,3.9
8182,"Martinez, Keller and Huff","New Dylanland, Adamshire",Project-based,Higher,"Maintenance, Cleaning, HVAC",3.7
8183,Brown LLC,Beltranland,Project-based,Lower,Cleaning,4.5
8184,Bush-Peterson,Timothychester,Project-based,Lower,"Painting, Renovation, Plumbing, Maintenance, Electrical",4.0
8185,Reilly Group,"Kathrynburgh, West Sandy",Hourly Rate,Competitive,"Maintenance, Plumbing, Roofing",4.0
8186,Savage-Day,"Davidhaven, Joyceberg, Josephview",Hourly Rate,Competitive,"Maintenance, Cleaning, Renovation",3.3
8187,Sanchez Group,"Mortonbury, Wernerberg",Subscription,Competitive,HVAC,4.1
8188,Brooks-Johnston,Davisfort,Hourly Rate,Lower,"Painting, Electrical, Roofing",4.6
8189,"Miller, Moore and Ross","Lake Jennifer, Andersenbury, Tonifort",Subscription,Lower,"Maintenance, Plumbing, Electrical",4.0
8190,"Mcdonald, Tucker and Medina",North Glennton,Subscription,Higher,Maintenance,3.1
8191,"Murillo, Atkinson and Brown","West Michaelchester, East Shaunchester, Cynthiaborough",Project-based,Competitive,"Maintenance, Cleaning, Painting, Renovation",3.5
8192,Beasley-Bauer,Port Jasmin,Hourly Rate,Lower,"Maintenance, Plumbing, Cleaning",4.4
8193,"Rowe, Russo and Schmidt","Lake Josephshire, Kathrynport",Flat Rate,Lower,"Electrical, Roofing, Cleaning, HVAC",3.2
8194,Jacobson Ltd,West Michael,Subscription,Higher,"HVAC, Painting, Cleaning, Roofing",4.1
8195,Forbes-Williamson,"Davidmouth, Westland, Lake Sharon",Hourly Rate,Higher,Painting,3.7
8196,Edwards and Sons,"Anitaburgh, Knoxbury, North Kevinton",Flat Rate,Higher,Painting,3.6
8197,Yates-Brown,"Mcintoshview, Floresstad",Flat Rate,Competitive,"HVAC, Roofing",3.3
8198,"Dawson, Moore and Barrett","Lunabury, South Saratown, Moodyport",Project-based,Higher,"Roofing, Maintenance, Painting, Electrical",4.1
8199,"Powell, Norton and Miller","Thompsonport, Eatonville, New Michaelborough",Project-based,Higher,HVAC,4.2
8200,Moon Ltd,South Tina,Hourly Rate,Higher,Maintenance,4.4
8201,"Phillips, Jennings and Gilmore",Port Edward,Flat Rate,Lower,"HVAC, Painting, Plumbing",5.0
8202,Nguyen-Rogers,North Staceyland,Subscription,Lower,"Roofing, Plumbing, Renovation",4.5
8203,Welch Inc,"Danielborough, Murphyburgh, West Candice",Hourly Rate,Competitive,"Painting, HVAC",3.8
8204,"Robinson, Brown and Garner","Hensonbury, Gonzalezshire, Scottburgh",Project-based,Competitive,"Plumbing, Electrical, Roofing",3.3
8205,"Navarro, Dodson and Perkins","Cainton, South Troy, New Karenstad",Flat Rate,Higher,Cleaning,3.3
8206,"Ellis, Wall and Romero",West Jamesville,Flat Rate,Competitive,"Electrical, Plumbing, HVAC, Painting",3.5
8207,"Porter, Carr and Miller","New Michael, Jenniferfurt",Hourly Rate,Competitive,"Plumbing, Roofing, Painting, Renovation, Cleaning",5.0
8208,Kent-Leon,Sherryville,Project-based,Competitive,Plumbing,3.7
8209,Pugh-Figueroa,"Ochoaville, Kathleentown, East Jeremyfurt",Project-based,Competitive,"Painting, Renovation, Maintenance, Roofing, Electrical",4.2
8210,Smith Ltd,Cooperhaven,Hourly Rate,Higher,"Roofing, Painting, Plumbing, Maintenance",3.2
8211,Benson PLC,"Lake Mirandachester, East Lawrence",Project-based,Competitive,"HVAC, Maintenance, Cleaning, Renovation",4.4
8212,"Rodriguez, Guzman and Rice","Morrisberg, Williamshire",Subscription,Higher,"HVAC, Cleaning, Electrical",4.2
8213,Oliver-Mclaughlin,"North Marcuston, Mooneyton, South Philipville",Project-based,Higher,Cleaning,3.3
8214,Marks Group,"Hollandborough, Douglaschester, West Alexanderville",Project-based,Lower,Electrical,4.4
8215,"Hensley, Sloan and Garcia","Lake Jasmin, Mathismouth",Hourly Rate,Lower,"HVAC, Renovation, Cleaning, Plumbing, Roofing",3.7
8216,"Smith, Morton and Morris",North Kevinshire,Subscription,Lower,Maintenance,4.3
8217,"Dunlap, Garner and Watson","East Christopherberg, Williamsfort, East Joshuatown",Subscription,Competitive,"HVAC, Electrical, Plumbing, Roofing",3.4
8218,Patterson Group,"Lake Larry, East Kayla",Project-based,Competitive,"HVAC, Painting, Plumbing",3.1
8219,Williams Group,"Cruzbury, Pamelamouth, Davidbury",Flat Rate,Lower,"Electrical, HVAC",3.8
8220,Wright-Jones,"West Christopher, Heathburgh",Flat Rate,Lower,"Roofing, Maintenance, Plumbing, Renovation, Cleaning",4.5
8221,Reynolds-Lang,"Lopezmouth, North Matthewshire",Hourly Rate,Competitive,"Roofing, Painting",3.5
8222,Powers-Nguyen,Butlermouth,Flat Rate,Higher,"Maintenance, Plumbing, Painting, Electrical, Cleaning",4.9
8223,Garcia Ltd,Williamsmouth,Project-based,Lower,"Electrical, Renovation",3.8
8224,"Russell, Sullivan and Walker","South Tracy, Crystalberg",Hourly Rate,Competitive,"Cleaning, Roofing, Renovation",3.6
8225,Carter-Hanson,Perezland,Flat Rate,Competitive,Maintenance,3.8
8226,Guerrero Ltd,Amyview,Subscription,Higher,Roofing,4.0
8227,Andrews Ltd,"Lake Kimberly, Benjaminfort, North Rebekah",Subscription,Lower,"Painting, Plumbing",3.3
8228,Adams Inc,"Peckbury, Sampsonborough, Josephmouth",Project-based,Competitive,"Cleaning, Renovation",4.2
8229,Patel-Hensley,Cynthiafort,Project-based,Higher,"Maintenance, Renovation, Roofing, Cleaning, Plumbing",4.5
8230,Velez-Jackson,Allenchester,Subscription,Higher,"Renovation, Electrical, Roofing, HVAC",4.5
8231,"Miranda, Valentine and Wong",North Carolchester,Flat Rate,Higher,Cleaning,3.2
8232,Williams Ltd,"East Spencerfort, Robertchester, West Hannah",Flat Rate,Higher,"Plumbing, Electrical, HVAC, Roofing",4.8
8233,Duncan-Dixon,"Tinaport, North Amanda",Hourly Rate,Lower,"Plumbing, HVAC, Electrical",3.1
8234,Harper and Sons,Lake Brandyview,Subscription,Lower,"Maintenance, HVAC, Electrical, Renovation",4.6
8235,Wilcox-Coleman,Floresborough,Hourly Rate,Lower,HVAC,3.1
8236,"Mendoza, Gonzalez and Cook","Ashleyland, South Craigtown",Flat Rate,Higher,"Cleaning, HVAC, Renovation",3.9
8237,"Harris, Brown and Underwood","Younghaven, Howellfurt, South Michaelaport",Project-based,Lower,Maintenance,4.9
8238,"Mccullough, Alvarez and King","Port Jessica, Travishaven, West David",Hourly Rate,Higher,"Electrical, Maintenance, Roofing, Cleaning, Renovation",4.7
8239,"Garrison, Taylor and Buchanan","Jonesborough, East Robin, Pottsmouth",Subscription,Lower,"Electrical, Painting",3.4
8240,"Berry, Ochoa and Evans",Fernandezberg,Flat Rate,Lower,"Renovation, Painting, Roofing",3.7
8241,"Haney, Perez and Howard","Port Natasha, Williamfort",Subscription,Competitive,"Cleaning, Maintenance, Renovation",3.1
8242,James LLC,"Kyleport, Lake Derekshire",Hourly Rate,Competitive,"Cleaning, Maintenance",3.3
8243,"Nielsen, Flores and Berger",Osborneberg,Subscription,Competitive,HVAC,3.4
8244,"York, Tucker and Powers","West Matthewhaven, New Angelica, Amyville",Subscription,Higher,"Painting, Plumbing, Electrical, Maintenance, Cleaning",4.9
8245,Fisher and Sons,Hannahbury,Hourly Rate,Competitive,"Cleaning, Maintenance, Electrical",4.7
8246,"Sanders, Simpson and Baldwin",South Nathanfort,Flat Rate,Competitive,"Electrical, Plumbing",3.4
8247,"Sanchez, Hernandez and Macdonald",Lake Victor,Project-based,Lower,HVAC,4.1
8248,"Baldwin, Allen and Green","Gomezport, Michaelhaven",Subscription,Higher,"Cleaning, Painting",4.6
8249,Nelson LLC,"Lake Calvinstad, New Jennifer, East Daniel",Project-based,Competitive,"Cleaning, Maintenance, Painting, Electrical",4.5
8250,Matthews-Wiley,"Sotohaven, Allisonfort, West Keith",Subscription,Higher,"HVAC, Electrical",3.3
8251,Johnson Group,"Lake Michaelton, Lake Laurenmouth",Flat Rate,Competitive,Plumbing,3.7
8252,Mcdonald LLC,North Makaylafurt,Hourly Rate,Lower,"Electrical, Roofing, HVAC",4.9
8253,"Allen, Kaufman and Martin",Scottside,Hourly Rate,Higher,"HVAC, Electrical, Painting",5.0
8254,"Brooks, George and Lee","Caseyhaven, North Charlesstad",Subscription,Higher,Renovation,4.4
8255,White Ltd,"North Jessica, Snyderton",Hourly Rate,Higher,"Roofing, Electrical",3.6
8256,Blair and Sons,Odonnellhaven,Flat Rate,Lower,"Maintenance, Roofing, Electrical",3.3
8257,Bruce-Willis,"Michaelchester, North Ruben",Subscription,Higher,"Cleaning, Electrical, Renovation, Plumbing, Painting",4.3
8258,Oconnor and Sons,East Ryan,Project-based,Competitive,"Plumbing, Cleaning, Painting, Roofing",3.1
8259,Foster Inc,South Morganton,Hourly Rate,Competitive,HVAC,3.9
8260,Evans PLC,"Sandraland, Lake Kaitlyn",Flat Rate,Higher,Maintenance,3.9
8261,Moore and Sons,"East Larry, Jameschester, Kennethburgh",Flat Rate,Competitive,Plumbing,4.7
8262,Davis-Maldonado,"Saraland, Port Kevinside",Project-based,Higher,"Cleaning, Plumbing, Electrical, Renovation, HVAC",4.8
8263,Peterson Inc,Dustinville,Project-based,Competitive,"Plumbing, Painting, Cleaning, Maintenance",3.7
8264,"Perez, Willis and Warner","South Meganview, East Richard, New Hollytown",Flat Rate,Higher,"Roofing, HVAC, Cleaning, Electrical, Maintenance",3.6
8265,Bond Group,"Lake Jessicatown, Christopherview, Ballmouth",Flat Rate,Higher,"Electrical, HVAC, Painting, Maintenance, Roofing",4.6
8266,Oneill and Sons,"Lisaberg, South Alejandrobury, North Michelle",Project-based,Competitive,"Maintenance, HVAC",4.6
8267,Evans-Landry,"New Codychester, Dunlapside",Hourly Rate,Lower,Cleaning,3.8
8268,"Smith, Thomas and Mitchell","Fordside, Jenkinsborough",Flat Rate,Higher,HVAC,4.2
8269,Aguilar LLC,Benjaminside,Subscription,Higher,"Renovation, Roofing, HVAC",3.6
8270,Bennett and Sons,"Russoborough, South Jeremymouth, South Erinville",Hourly Rate,Competitive,"Painting, Cleaning, Renovation",4.4
8271,"Olson, Gilbert and Wright","East Scott, South John, North Michael",Project-based,Competitive,"Maintenance, Electrical, HVAC, Painting, Plumbing",3.2
8272,Sutton-Murray,"Markside, Comptonmouth, Jacobburgh",Subscription,Lower,"Electrical, Painting, Roofing, Maintenance, HVAC",3.6
8273,Steele-Lawson,"Carterview, Kochview",Hourly Rate,Competitive,"Roofing, Cleaning, Electrical, Renovation, Painting",4.3
8274,"Morgan, Duncan and Wright","Jacobstad, South Kenneth",Flat Rate,Higher,Cleaning,4.0
8275,Jones LLC,"Brianland, Crystalfort",Project-based,Higher,"Maintenance, Roofing, Plumbing, Cleaning, Electrical",4.3
8276,Hopkins Group,Port Manuelchester,Flat Rate,Competitive,Renovation,3.1
8277,"Burns, Smith and Freeman","Lake Shelley, South Michael, South Vanessaton",Subscription,Higher,"Plumbing, Electrical, Maintenance",4.7
8278,Gill Inc,"Port Jenniferview, New Mary",Flat Rate,Lower,Electrical,4.2
8279,"Jones, Werner and Williams","Elizabethburgh, Kennethberg, Rebekahland",Project-based,Competitive,Cleaning,4.4
8280,"Greene, Savage and Miller","Port Denise, Tanyaborough",Flat Rate,Competitive,"Roofing, Maintenance, Plumbing, Electrical",4.7
8281,"Peterson, Mcdonald and Franklin","Mistytown, South Gary",Subscription,Higher,Plumbing,3.8
8282,Moore-Gutierrez,Danielshire,Project-based,Higher,"Roofing, HVAC, Plumbing, Electrical, Maintenance",4.8
8283,"Vasquez, Spears and Woodard","Davidborough, Port John, Markborough",Hourly Rate,Lower,"Painting, Maintenance, Cleaning, Plumbing",4.3
8284,Hernandez LLC,"Amandaton, Manuelshire, Valdezfort",Flat Rate,Higher,Renovation,4.0
8285,"Hopkins, Moore and Rodriguez",Smithstad,Subscription,Higher,"Painting, Plumbing",4.1
8286,Jacobs Group,"Riosport, South Jessicaport, South Lauramouth",Project-based,Higher,"Painting, Roofing, Plumbing",4.1
8287,Nielsen-Green,East Chloe,Project-based,Competitive,"Electrical, Renovation",4.3
8288,"Taylor, Webster and Smith","New Karaborough, Port Monicafort, New Benjaminville",Flat Rate,Higher,"Roofing, Plumbing, Cleaning",4.0
8289,Lee PLC,"Lake Christine, Debraburgh, Melissatown",Subscription,Higher,Maintenance,4.7
8290,Jones-Kaiser,"Danielchester, West Maryhaven, Gonzalesborough",Hourly Rate,Lower,"Electrical, Roofing",4.7
8291,Rosario-Delgado,"Port Kellyport, Tonyaside",Subscription,Competitive,"Renovation, Roofing, Maintenance, Plumbing, Electrical",4.1
8292,"Young, Campbell and Evans","Lake Brian, Rogersport, Lake Angelaton",Flat Rate,Higher,Cleaning,3.3
8293,Stark-Gutierrez,West Kristen,Flat Rate,Higher,"Roofing, Electrical",3.6
8294,Proctor Inc,"South Brian, Christopherborough, Mooneytown",Hourly Rate,Higher,"Electrical, Renovation",3.7
8295,Moore-Johnson,"Amandaborough, Cruzchester",Flat Rate,Higher,"Roofing, Renovation, Maintenance, Plumbing",3.1
8296,Newton LLC,Shawburgh,Hourly Rate,Higher,Plumbing,3.4
8297,Mitchell LLC,"Gregoryberg, Juanmouth, West Wanda",Subscription,Lower,Roofing,4.6
8298,"Pope, Rodriguez and Walls","North Brettfort, South Ericview, Michaelport",Project-based,Higher,Maintenance,4.3
8299,"Lawrence, Smith and Washington",New Lisastad,Project-based,Competitive,HVAC,3.8
8300,Hardin-Greene,"West Joshua, East Michaeltown",Flat Rate,Lower,"Plumbing, Renovation",4.2
8301,Cantu Group,South Daniel,Hourly Rate,Higher,"HVAC, Painting, Roofing, Maintenance, Electrical",4.7
8302,Cruz-Howell,"Raymondshire, Washingtonfort, Port Christianborough",Project-based,Higher,"Plumbing, Maintenance, Renovation, HVAC, Roofing",4.1
8303,Parsons-Mckenzie,Reginachester,Hourly Rate,Lower,"Cleaning, Electrical, Maintenance, Painting",4.3
8304,Shannon PLC,Wolfeport,Subscription,Higher,"Maintenance, Renovation, Plumbing, Painting, HVAC",5.0
8305,Young Ltd,"Derekshire, North Richardhaven, South Adam",Hourly Rate,Higher,"Roofing, Painting, HVAC, Cleaning, Renovation",3.5
8306,Cummings-Mckee,"New Amybury, Port Natalie",Flat Rate,Higher,"HVAC, Electrical",3.2
8307,Sanders LLC,West Louis,Subscription,Lower,"Electrical, Painting, HVAC, Renovation",3.2
8308,Decker LLC,Matthewshire,Hourly Rate,Lower,"Electrical, Roofing, HVAC, Renovation, Painting",3.6
8309,Johnson Ltd,South Lisabury,Project-based,Lower,"Cleaning, HVAC, Renovation",4.9
8310,Lopez-Watson,Port Melissastad,Hourly Rate,Higher,"HVAC, Cleaning",3.8
8311,"Thomas, Smith and Carr","South Michaelland, Meganview, Lake Brandon",Subscription,Competitive,"Painting, Maintenance",4.0
8312,"Williams, Watson and Garcia","Jaredburgh, West Brian, Michaelberg",Project-based,Lower,"Electrical, Plumbing",4.5
8313,"Brewer, Guzman and Petersen","Port Andrew, New Claudiaport, South Robert",Project-based,Competitive,"Electrical, Plumbing",3.7
8314,Dickerson-Long,"East Nancy, Adammouth, North Tabithaburgh",Flat Rate,Lower,"Electrical, Roofing, Maintenance, Plumbing, Renovation",4.2
8315,Ferguson-Hull,North Cody,Flat Rate,Higher,"Roofing, Cleaning",4.9
8316,Hanna and Sons,"New Daltonside, West Jackson, New Jacobhaven",Project-based,Competitive,HVAC,3.4
8317,"Durham, Willis and Ortiz","West Megan, Deborahberg, North Daniel",Flat Rate,Competitive,"Maintenance, Painting, Plumbing",4.2
8318,"Mcdowell, Thomas and Stewart",Lake Susanside,Subscription,Lower,Plumbing,3.3
8319,Johnson-Cooper,Pattersonland,Flat Rate,Competitive,"Maintenance, HVAC, Painting, Roofing, Cleaning",4.8
8320,Roy Ltd,"Jennifermouth, New Thomas",Project-based,Competitive,"HVAC, Electrical, Plumbing",3.2
8321,"Ramirez, Sutton and Alexander","East James, Wallerview, Thomasport",Hourly Rate,Higher,Electrical,4.3
8322,Martin-Vargas,"New Glendabury, Anthonybury",Project-based,Higher,"Cleaning, Plumbing, Renovation, Maintenance, HVAC",3.6
8323,Hurst Inc,Port Pamelamouth,Flat Rate,Higher,Painting,4.3
8324,Rodriguez-Scott,"South Jasonview, Lake Natalie, Parkerberg",Flat Rate,Higher,Roofing,4.0
8325,Baxter and Sons,"Bethview, North William",Hourly Rate,Lower,"Maintenance, Electrical, Painting",3.6
8326,Adams Inc,"Port Michelleburgh, Lisatown, Jonathanborough",Hourly Rate,Lower,"HVAC, Electrical, Renovation, Maintenance",3.4
8327,Ruiz LLC,"North Darlene, Fordville",Flat Rate,Competitive,"Painting, Electrical, Maintenance",4.0
8328,Lewis-Robinson,"Riveraville, Port Brandi, South Christopherberg",Flat Rate,Competitive,"Renovation, Plumbing, Electrical, Cleaning",3.0
8329,Cobb-Baker,"Mercerfurt, East Mark, West John",Project-based,Lower,Renovation,3.2
8330,Dickerson-Jackson,"Kellymouth, Wellsside",Flat Rate,Lower,"Painting, Roofing, Cleaning, Renovation, Maintenance",5.0
8331,"Johnson, Rodgers and Roberts","Rochaberg, Andrewland",Project-based,Higher,"Cleaning, Maintenance, HVAC, Renovation",3.5
8332,"Long, Moody and Nelson","Garrettmouth, Jakefort",Flat Rate,Lower,"Electrical, Renovation",4.3
8333,"Dunn, Flores and Henry","Port Lance, Atkinsmouth",Subscription,Lower,"Cleaning, Maintenance, Painting, Electrical, Renovation",4.4
8334,Nichols and Sons,"West Jenniferburgh, New Dennis, South Jon",Project-based,Competitive,"Maintenance, Cleaning, Plumbing, HVAC, Electrical",3.1
8335,"Shaffer, Gibson and Page","Port James, Moniquehaven, West Sarahshire",Subscription,Competitive,"Cleaning, Renovation, HVAC",4.3
8336,Porter PLC,"Joshuatown, Emilyberg",Flat Rate,Competitive,Roofing,3.5
8337,Soto-Wright,South Shannonfurt,Flat Rate,Lower,"Cleaning, Electrical, Renovation",4.6
8338,"Cook, Holland and Noble","Lake Aaron, Williamsberg",Flat Rate,Competitive,"Painting, HVAC, Plumbing, Cleaning",3.5
8339,George-Mullen,"Fergusonhaven, Lindseyhaven, North Jason",Flat Rate,Higher,"Roofing, Maintenance",4.8
8340,Jones PLC,Calhountown,Flat Rate,Competitive,Cleaning,3.3
8341,Faulkner-Smith,Port Elizabeth,Hourly Rate,Competitive,"Renovation, HVAC, Roofing, Maintenance",4.1
8342,"Nash, Willis and Dixon",Welchberg,Subscription,Competitive,"Renovation, Cleaning, HVAC",5.0
8343,Nicholson Ltd,North Kevinshire,Subscription,Competitive,Electrical,3.7
8344,Kaiser LLC,"Lozanotown, Lloydside",Project-based,Higher,"Plumbing, Painting, Cleaning",4.4
8345,Rivera and Sons,Lyonsmouth,Project-based,Higher,"Plumbing, HVAC",4.9
8346,Casey-Barajas,"South Amandastad, Benjaminmouth",Flat Rate,Lower,"Renovation, Roofing",3.2
8347,Hardin PLC,"Lake Tommyfurt, Cummingschester, Kylefurt",Project-based,Competitive,HVAC,3.9
8348,Campos PLC,East Kristen,Project-based,Competitive,Cleaning,5.0
8349,"Herrera, Hernandez and Sampson","Adkinschester, Edwinberg",Flat Rate,Lower,"Electrical, Renovation, Maintenance",4.5
8350,"Holland, Contreras and Mason","Melindaview, Petersonchester",Subscription,Competitive,"Maintenance, HVAC",3.8
8351,Allen-Mendez,Lake Bradley,Subscription,Lower,"Maintenance, Painting, Electrical, Plumbing",3.5
8352,"Pena, Lane and Torres","Williamfort, Chadmouth",Subscription,Lower,"Cleaning, Plumbing, Roofing, Electrical, HVAC",4.9
8353,Brady Inc,"Bakerbury, Arnoldside",Project-based,Competitive,"Electrical, Cleaning, HVAC, Plumbing",4.3
