Property ID,Address,Size (sq ft),Age (years),Type,Floors,Condition,Construction Material,Fire Safety Systems,Accessibility Features,Recent Renovations,Current Use,Occupancy Status,Environmental Hazards
6177,"932 Branch Knolls
East Karenmouth, WA 71894",8415,22,Commercial,2,Excellent,Steel,"Alarms, Sprinklers","Ramps, Wide Doorways, None, Elevator",More.,Office,Vacant,None
6178,"08128 David Gardens Suite 061
Heatherland, NV 75380",8982,16,Industrial,3,Good,Wood,"Sprinklers, Extinguishers, Alarms","Wide Doorways, Ramps, Elevator",None,Office,Occupied,Lead Paint
6179,"054 Jones Skyway Apt. 908
Patriciabury, MN 43495",9022,28,Commercial,4,Poor,Concrete,Alarms,"Elevator, None",Yet amount.,Office,Occupied,Lead Paint
6180,"2528 Krista Turnpike
Pinedaview, MD 37522",8173,28,Industrial,4,Good,Concrete,"Sprinklers, Extinguishers, Alarms","Elevator, None, Wide Doorways",None,Residential,Vacant,Lead Paint
6181,"143 Thomas Vista Suite 389
Kyleberg, ND 84178",9959,86,Commercial,8,Fair,Wood,"Extinguishers, Sprinklers, Alarms","None, Wide Doorways, Ramps",Affect hear ready.,Office,Occupied,Mold
6182,"71468 Hall Stravenue
Shelleytown, WV 92443",3668,5,Residential,9,Poor,Brick,Alarms,"None, Ramps",None,Residential,Occupied,Lead Paint
6183,"9504 Mike Lake
Johnsonfurt, CA 43143",7968,51,Residential,4,Fair,Brick,Extinguishers,"Ramps, Elevator",None,Residential,Vacant,None
6184,"957 Blackburn Rapids
North Gregoryborough, MT 60692",740,38,Industrial,5,Fair,Steel,Alarms,"None, Wide Doorways, Elevator",Guess century lawyer.,Warehouse,Vacant,None
6185,"142 Lee Lodge
Connieton, CT 59007",3433,36,Industrial,2,Good,Concrete,"Extinguishers, Alarms, Sprinklers","Wide Doorways, Ramps",None,Warehouse,Occupied,None
6186,"8376 Angela Heights
North Christinaville, AR 27983",693,28,Commercial,3,Excellent,Brick,"Extinguishers, Alarms, Sprinklers","Elevator, Wide Doorways",Street should.,Warehouse,Vacant,None
6187,"054 Ramos Falls
Lewisport, CT 77868",7658,9,Industrial,1,Fair,Concrete,"Sprinklers, Extinguishers, Alarms","Elevator, Wide Doorways, None",None,Residential,Occupied,None
6188,"103 Hill View Apt. 617
Chadhaven, MT 29097",2191,19,Industrial,3,Fair,Concrete,"Sprinklers, Extinguishers","Ramps, Elevator, None, Wide Doorways",None,Office,Occupied,Lead Paint
6189,"922 Holmes Ville Suite 059
Bryanville, WY 95986",3037,78,Commercial,10,Poor,Concrete,"Alarms, Extinguishers, Sprinklers",Ramps,Mrs when.,Warehouse,Occupied,None
6190,"130 Leslie Groves
Russellbury, MA 17092",2063,32,Residential,4,Fair,Brick,"Extinguishers, Sprinklers, Alarms","Ramps, Wide Doorways, Elevator",Second.,Warehouse,Vacant,Lead Paint
6191,"65388 Haynes Islands
New Melanie, MT 71203",4976,43,Industrial,7,Fair,Wood,"Extinguishers, Alarms, Sprinklers","Wide Doorways, Ramps",None,Warehouse,Occupied,Lead Paint
6192,"71846 Michele Well Apt. 059
West Jenniferview, WA 69561",5644,75,Residential,2,Excellent,Wood,Alarms,"Wide Doorways, None",Or each.,Retail,Vacant,None
6193,"USS Leon
FPO AA 43308",8984,87,Commercial,2,Good,Brick,"Alarms, Sprinklers, Extinguishers",Wide Doorways,None,Retail,Occupied,None
6194,"550 Angela Square Apt. 799
Robertberg, IA 49951",1343,12,Industrial,8,Excellent,Brick,"Alarms, Extinguishers","None, Elevator, Wide Doorways",None,Residential,Occupied,None
6195,"541 Patel Mall Suite 743
Hopkinston, GA 06229",3806,40,Residential,9,Excellent,Steel,Extinguishers,"None, Wide Doorways, Ramps, Elevator",None,Office,Vacant,None
6196,"519 Kane Camp
Ellisshire, GA 90643",8972,62,Commercial,6,Fair,Brick,Extinguishers,"None, Wide Doorways, Elevator",None,Warehouse,Vacant,Asbestos
6197,"PSC 0072, Box 4024
APO AE 97212",1182,4,Industrial,4,Good,Concrete,Sprinklers,Elevator,Class green ball.,Residential,Occupied,None
6198,"054 Noah Spurs
Andrewhaven, UT 87937",1682,52,Residential,4,Poor,Steel,"Extinguishers, Sprinklers",Elevator,None,Warehouse,Occupied,None
6199,"7816 Garcia Turnpike
Nancymouth, RI 77733",5020,39,Residential,10,Good,Wood,"Sprinklers, Extinguishers","Elevator, Ramps",Deep technology.,Office,Occupied,None
6200,"94529 Eric Mall Suite 574
East Emily, IA 00993",9658,62,Industrial,7,Excellent,Concrete,Extinguishers,None,Age yet.,Warehouse,Occupied,Mold
6201,"170 Buckley Way Suite 674
East Peterberg, MN 44927",3695,32,Industrial,8,Excellent,Brick,"Alarms, Sprinklers","None, Ramps",None,Warehouse,Vacant,Mold
6202,"9743 Hall Mountain
North Julieberg, SC 05793",4042,25,Commercial,5,Fair,Steel,Sprinklers,"Ramps, None, Wide Doorways, Elevator",None,Office,Occupied,Lead Paint
6203,"8669 John Cape Suite 689
Daniellestad, FL 06690",7421,36,Residential,1,Poor,Brick,"Alarms, Extinguishers","None, Wide Doorways, Ramps, Elevator",Population value purpose.,Warehouse,Vacant,Lead Paint
6204,"8254 Thomas Isle
Williamsview, ND 27505",649,8,Commercial,7,Good,Wood,"Extinguishers, Sprinklers, Alarms","None, Wide Doorways, Elevator",Check.,Retail,Vacant,None
6205,"831 Brian Stravenue Apt. 697
Adrianberg, VA 06016",4064,59,Industrial,2,Poor,Brick,"Extinguishers, Sprinklers","Elevator, Ramps",Congress outside.,Office,Vacant,Mold
6206,"PSC 5073, Box 2360
APO AE 57182",3074,80,Industrial,6,Poor,Brick,Alarms,None,Value exist choice indeed.,Office,Occupied,Mold
6207,"426 Michael Street
Ricehaven, AL 48431",5525,92,Industrial,10,Excellent,Wood,Alarms,"Elevator, Ramps",None,Retail,Occupied,Mold
6208,"41674 Rebecca Parks
Gomezmouth, IA 27287",3620,57,Industrial,10,Excellent,Steel,"Sprinklers, Alarms","Wide Doorways, Ramps, Elevator, None",None,Retail,Occupied,None
6209,"97433 Fuentes Manors Suite 001
West Timothyberg, WV 66482",5679,36,Residential,2,Excellent,Brick,"Alarms, Extinguishers, Sprinklers","Ramps, Wide Doorways",Expert ready never.,Warehouse,Occupied,None
6210,"353 Harrison Port
East Marcus, NC 69875",3601,15,Industrial,3,Good,Concrete,"Extinguishers, Sprinklers","Ramps, Elevator",None,Residential,Occupied,Lead Paint
6211,"587 Thomas Estates
Clarkstad, KY 00652",2538,96,Commercial,4,Good,Brick,Alarms,"None, Elevator, Ramps",None,Office,Occupied,Mold
6212,"435 Frank Rapid
Matthewhaven, NH 04235",4736,64,Industrial,5,Excellent,Brick,"Extinguishers, Alarms","None, Elevator, Ramps, Wide Doorways",Movie let I.,Office,Vacant,None
6213,"45599 Willie Via
South Jennifer, WA 00605",7470,42,Commercial,7,Good,Concrete,"Sprinklers, Extinguishers, Alarms",Elevator,Himself response particular.,Warehouse,Occupied,None
6214,"1609 Jones Plain
Port Thomas, NM 88276",6917,51,Industrial,6,Good,Concrete,"Extinguishers, Alarms, Sprinklers","Wide Doorways, None",None,Residential,Vacant,None
6215,"0472 Shelia Streets
Kellyburgh, NH 49583",5785,65,Commercial,4,Good,Wood,"Alarms, Sprinklers, Extinguishers","Elevator, None",None same upon.,Warehouse,Occupied,Mold
6216,"2344 Huerta Summit
Lake Chad, IN 42959",1438,43,Commercial,10,Good,Brick,"Alarms, Sprinklers, Extinguishers","None, Elevator",None,Office,Occupied,None
6217,"285 Terrell Hollow Apt. 599
Port Nicolehaven, CO 40103",3077,65,Residential,4,Fair,Wood,"Sprinklers, Extinguishers",Ramps,None,Residential,Vacant,None
6218,"8029 Meghan Ferry Apt. 791
East Deanna, MS 83896",5582,20,Commercial,7,Good,Concrete,"Extinguishers, Sprinklers","Ramps, Wide Doorways, Elevator",None,Residential,Vacant,None
6219,"953 Rodriguez Ports
South Carlos, IA 13207",5095,33,Commercial,1,Fair,Concrete,"Extinguishers, Sprinklers, Alarms",Wide Doorways,Watch have music.,Warehouse,Vacant,Mold
6220,"681 Tyler Shoal Suite 963
South Jenniferburgh, MO 77339",3342,93,Commercial,10,Excellent,Brick,"Alarms, Sprinklers",None,Sing coach.,Warehouse,Vacant,Mold
6221,"43209 Orr Trafficway
East Carolynview, VT 55123",4683,5,Commercial,2,Poor,Steel,"Alarms, Sprinklers","Wide Doorways, None, Ramps, Elevator",Week still assume.,Retail,Occupied,None
6222,"559 Bryan River
Meadowsville, WV 41429",5437,80,Industrial,10,Poor,Concrete,"Extinguishers, Sprinklers, Alarms",None,Protect born us.,Warehouse,Vacant,Lead Paint
6223,"52047 Michael Path
Stephenstad, WV 99779",2375,45,Commercial,9,Good,Brick,"Alarms, Extinguishers","None, Ramps, Elevator, Wide Doorways",Recently decision that.,Retail,Vacant,None
6224,"0575 Michael Plaza Suite 035
Lake Susan, MI 85923",2642,80,Residential,1,Fair,Steel,Alarms,"Wide Doorways, Elevator, None",None,Office,Vacant,Mold
6225,"658 Parsons Meadows Apt. 669
Joelstad, CA 15660",2388,18,Commercial,2,Good,Brick,"Sprinklers, Alarms",Ramps,Difference good.,Warehouse,Vacant,Mold
6226,"21338 Dawn Course
East Billy, PA 77414",3152,13,Industrial,3,Poor,Brick,"Alarms, Sprinklers","Elevator, Wide Doorways",Moment next include.,Office,Vacant,None
6227,"648 Bates Via Apt. 984
Roseshire, TX 01477",3494,52,Residential,5,Excellent,Steel,"Alarms, Extinguishers",Wide Doorways,Real down Democrat hand.,Residential,Vacant,Asbestos
6228,"7624 Sarah Expressway Apt. 348
Barneston, WV 97165",3870,41,Residential,7,Poor,Wood,"Alarms, Sprinklers, Extinguishers","Elevator, None",None,Residential,Occupied,None
6229,"1533 Ronald Pine
Port Corey, KS 27916",1164,33,Residential,3,Excellent,Wood,"Extinguishers, Sprinklers, Alarms",Wide Doorways,None,Warehouse,Occupied,None
6230,"12502 Sabrina Cape Suite 337
New Brianview, IL 30686",9170,72,Residential,1,Poor,Brick,Alarms,Elevator,Should exist magazine.,Residential,Vacant,None
6231,"708 Robbins Springs Suite 668
Smithfurt, ME 17888",5464,58,Industrial,3,Poor,Wood,"Extinguishers, Sprinklers, Alarms","Elevator, None",None,Residential,Occupied,Asbestos
6232,"475 Harris Prairie
Cameronborough, OK 88658",1661,36,Residential,7,Fair,Wood,"Alarms, Extinguishers","Ramps, None, Elevator",Write could.,Warehouse,Vacant,None
6233,"Unit 6344 Box 0206
DPO AA 93303",3566,70,Commercial,10,Fair,Brick,Extinguishers,"Elevator, Wide Doorways, Ramps, None",Rule throw.,Residential,Occupied,None
6234,"51090 Evans Brook Suite 569
New Kimberly, CO 10338",813,71,Commercial,1,Excellent,Wood,"Extinguishers, Alarms, Sprinklers","Ramps, Wide Doorways",Find company role.,Residential,Vacant,Mold
6235,"184 Manning Tunnel Suite 946
Brittanyview, WY 90969",3730,84,Commercial,8,Fair,Concrete,Alarms,"None, Ramps, Elevator",None,Office,Vacant,Lead Paint
6236,"05835 Flores Tunnel Suite 974
Riceland, KS 51603",4200,15,Residential,8,Fair,Brick,"Sprinklers, Alarms, Extinguishers","Ramps, None, Elevator, Wide Doorways",Face trip west.,Warehouse,Vacant,None
6237,"788 Mann Haven
Jennaburgh, OR 88640",3083,51,Commercial,6,Poor,Steel,Extinguishers,"Elevator, None, Wide Doorways",Government outside relate.,Retail,Occupied,None
6238,"78198 Hoffman Passage
New Jennifer, MI 50193",807,59,Commercial,9,Excellent,Wood,"Alarms, Sprinklers, Extinguishers","Ramps, Wide Doorways",None,Retail,Occupied,Mold
6239,"07745 Colleen Plaza
Ericfort, KY 11277",4783,100,Commercial,5,Poor,Wood,Alarms,None,Imagine young.,Retail,Occupied,None
6240,"6130 English Mill Suite 137
New Charlene, NY 04851",9738,10,Industrial,2,Fair,Concrete,Sprinklers,"None, Wide Doorways, Elevator, Ramps",Energy.,Residential,Occupied,None
6241,"88770 Taylor Oval Suite 736
Port Alexanderborough, WY 82733",6406,26,Residential,1,Fair,Brick,"Alarms, Extinguishers",Ramps,Type system law.,Residential,Vacant,Lead Paint
6242,"018 Herrera Divide Suite 242
Daniellefurt, DC 83446",6943,16,Industrial,8,Poor,Steel,"Extinguishers, Alarms","None, Wide Doorways, Ramps, Elevator",None,Residential,Vacant,Mold
6243,"427 Joshua Walk
East Ashleymouth, MD 09242",2543,59,Industrial,4,Excellent,Steel,Sprinklers,"Ramps, None, Wide Doorways",None,Retail,Occupied,None
6244,"786 Wagner Lakes
Patrickfurt, CA 52737",3938,29,Commercial,5,Excellent,Steel,"Alarms, Extinguishers",Ramps,None,Warehouse,Vacant,Lead Paint
6245,"8725 Yu Trace Apt. 721
Griffinview, WA 95067",5489,2,Residential,7,Poor,Concrete,"Alarms, Sprinklers, Extinguishers","None, Ramps",Ask health.,Retail,Occupied,Lead Paint
6246,"017 Angela Bridge
Kennethmouth, IN 20654",8396,22,Industrial,9,Fair,Concrete,"Extinguishers, Alarms, Sprinklers","Wide Doorways, Elevator, Ramps, None",Hospital eat.,Residential,Vacant,Lead Paint
6247,"6261 Renee Turnpike
Joshuafort, WV 11594",5669,91,Residential,6,Poor,Brick,Alarms,Wide Doorways,None,Retail,Occupied,None
6248,"995 Johnson Divide
Weberton, RI 95983",3424,21,Residential,10,Poor,Wood,"Extinguishers, Alarms, Sprinklers",Elevator,Security clearly.,Retail,Vacant,Mold
6249,"761 Catherine Trace
East Joshuaside, NM 12140",6962,77,Industrial,6,Excellent,Steel,Extinguishers,"Elevator, Wide Doorways",Top blue.,Office,Vacant,None
6250,"02527 Bobby Wall Suite 066
Careystad, WI 47476",3016,38,Industrial,6,Fair,Brick,Sprinklers,"Wide Doorways, None, Ramps, Elevator",Stop.,Warehouse,Occupied,None
6251,"56972 William Groves Suite 746
Lake Janet, SD 66868",4316,49,Commercial,4,Fair,Brick,"Extinguishers, Sprinklers, Alarms",Wide Doorways,None,Office,Occupied,None
6252,"529 Chad Underpass
South Lisa, UT 46627",8666,57,Commercial,2,Fair,Brick,"Extinguishers, Sprinklers",Wide Doorways,None,Residential,Occupied,None
6253,"179 Suarez Burg Suite 642
South Brianberg, MO 06493",4452,90,Residential,5,Fair,Concrete,"Sprinklers, Alarms","Elevator, None, Ramps, Wide Doorways",Should despite lawyer.,Retail,Occupied,None
6254,"695 Martha Fields
Wagnertown, CT 71006",1719,68,Industrial,7,Fair,Wood,Alarms,"None, Wide Doorways, Elevator, Ramps",Thought free.,Retail,Vacant,None
6255,"4262 Andrew Islands Suite 230
Lake Larryside, IN 58481",4690,4,Commercial,1,Poor,Brick,"Alarms, Extinguishers","Elevator, None, Ramps, Wide Doorways",None,Retail,Vacant,None
6256,"1846 Annette Lodge
East Anntown, WI 58328",7736,59,Commercial,2,Poor,Steel,"Sprinklers, Alarms","Ramps, None",None,Retail,Occupied,Mold
6257,"USNV Hall
FPO AA 71928",3401,88,Residential,4,Poor,Steel,"Alarms, Extinguishers, Sprinklers",None,None,Retail,Vacant,None
6258,"0227 Trujillo Path Suite 395
Courtneytown, AL 67148",8159,76,Commercial,4,Excellent,Wood,"Sprinklers, Extinguishers, Alarms",None,Occur write hear.,Retail,Occupied,None
6259,"9151 Michelle Parkway Suite 714
Patrickbury, MS 89281",7815,23,Industrial,8,Poor,Wood,Extinguishers,"Wide Doorways, None, Elevator",Open once see.,Residential,Occupied,Asbestos
6260,"696 Tyler Stream
New Christopher, CO 33986",9582,45,Commercial,9,Fair,Steel,"Extinguishers, Alarms","None, Ramps, Elevator, Wide Doorways",None,Office,Vacant,None
6261,"082 Eric Burg Suite 622
Port Johnnyfort, VT 55852",7611,95,Commercial,3,Good,Steel,"Alarms, Sprinklers, Extinguishers",None,None,Residential,Vacant,None
6262,"645 Davis Garden Suite 541
Yangside, MT 92441",5638,58,Commercial,2,Poor,Steel,Sprinklers,Elevator,None,Office,Occupied,None
6263,"63305 Erin Tunnel
Lake Monicamouth, MT 19674",5620,97,Commercial,5,Excellent,Brick,"Extinguishers, Alarms","None, Elevator, Wide Doorways",None,Office,Vacant,None
6264,"USNV Saunders
FPO AA 89728",9368,77,Commercial,9,Poor,Concrete,"Alarms, Sprinklers, Extinguishers","Wide Doorways, Elevator",Deal every.,Retail,Occupied,Mold
6265,"82220 Johnson Street Apt. 775
West Mariaville, TX 89259",4293,51,Residential,2,Poor,Wood,"Alarms, Extinguishers, Sprinklers","Wide Doorways, None, Ramps, Elevator",Evening determine.,Office,Vacant,Lead Paint
6266,"492 Fernando Ports Apt. 919
South Thomaschester, WI 85177",6382,94,Residential,1,Fair,Steel,"Alarms, Extinguishers",Wide Doorways,None,Office,Vacant,Lead Paint
6267,"871 Matthew Fields
South Andrew, TN 54417",8108,92,Industrial,9,Poor,Concrete,Sprinklers,None,High company PM.,Office,Vacant,Lead Paint
6268,"PSC 1516, Box 1643
APO AP 23257",1321,95,Industrial,5,Excellent,Wood,"Sprinklers, Extinguishers","Wide Doorways, None, Elevator",None,Residential,Vacant,None
6269,"70541 Randy Union Suite 253
South Stephanie, AR 64059",9120,49,Industrial,1,Good,Brick,"Sprinklers, Extinguishers, Alarms","Elevator, Wide Doorways, None",Their parent our.,Residential,Occupied,None
6270,"44125 Joshua Hills Suite 833
Danielburgh, NE 15476",9099,47,Commercial,9,Fair,Concrete,"Extinguishers, Sprinklers","Ramps, Elevator, None, Wide Doorways",More tough.,Warehouse,Vacant,Lead Paint
6271,"7880 Heather Loop Apt. 822
Patrickmouth, VT 76955",6260,71,Industrial,4,Excellent,Brick,Extinguishers,"Ramps, Elevator, Wide Doorways",None,Office,Vacant,None
6272,"545 Wilson Path Suite 496
Jennyton, IN 38408",3116,1,Residential,2,Fair,Brick,"Alarms, Sprinklers, Extinguishers","Ramps, Wide Doorways",Together head.,Warehouse,Occupied,None
6273,"391 Elizabeth Hill Suite 129
Virginiahaven, MN 18289",6706,35,Industrial,9,Fair,Steel,"Extinguishers, Alarms","Ramps, None, Wide Doorways, Elevator",Military.,Office,Occupied,None
6274,"2007 Zachary Plaza
North David, IA 59689",9674,65,Industrial,3,Fair,Brick,Sprinklers,"Wide Doorways, Elevator",Apply begin.,Residential,Vacant,Mold
6275,"88051 Stark Ports
Josephport, ND 51552",7703,54,Residential,1,Good,Brick,"Sprinklers, Alarms","Ramps, Elevator, Wide Doorways, None",None,Residential,Occupied,None
6276,"377 Kathryn Manors Apt. 529
South Tammyburgh, MA 35312",4370,17,Commercial,8,Fair,Brick,"Sprinklers, Alarms",None,Outside.,Office,Occupied,None
6277,"46707 Jennifer Flats
Owenshaven, AR 79812",5657,33,Commercial,10,Excellent,Steel,Sprinklers,"Ramps, Elevator, Wide Doorways, None",None,Residential,Occupied,None
6278,"8994 Michael Rest Suite 969
Johntown, AK 77958",9310,85,Commercial,3,Fair,Concrete,Extinguishers,None,None,Retail,Occupied,None
6279,"309 Owens Plaza
East Aaronstad, OR 61127",7386,18,Industrial,3,Fair,Concrete,"Extinguishers, Alarms, Sprinklers","None, Elevator, Ramps",None,Warehouse,Vacant,Mold
6280,"483 Daniel Coves
East Stacey, MS 08590",6980,58,Industrial,9,Good,Brick,"Alarms, Sprinklers","Ramps, None, Elevator",None,Warehouse,Vacant,Asbestos
6281,"2344 Cunningham Street Suite 932
Michaeltown, MA 56428",8210,61,Industrial,4,Excellent,Brick,"Alarms, Extinguishers, Sprinklers","Elevator, Ramps",Day identify character.,Residential,Vacant,Asbestos
6282,"574 Mark Field
Jacobstown, LA 69539",9080,31,Commercial,4,Poor,Brick,"Extinguishers, Alarms, Sprinklers","Elevator, None, Ramps, Wide Doorways",Top lead.,Retail,Vacant,Asbestos
6283,"469 Jenny Pike Apt. 112
Smithhaven, TX 42471",3802,83,Residential,2,Excellent,Steel,Alarms,Elevator,Charge board.,Retail,Occupied,None
6284,"015 Henry Mall Suite 310
East Daniel, IA 77099",9449,50,Industrial,3,Good,Brick,Alarms,"None, Ramps, Wide Doorways, Elevator",Part clearly score.,Warehouse,Occupied,None
6285,"9419 Harry Square Suite 848
Bauerburgh, MT 73119",755,45,Industrial,4,Poor,Concrete,Alarms,"None, Wide Doorways, Elevator, Ramps",None,Warehouse,Vacant,Asbestos
6286,"4915 Howard Ridge Apt. 425
Port Barry, NV 80181",1118,84,Residential,9,Good,Steel,"Sprinklers, Extinguishers, Alarms",None,None,Warehouse,Occupied,Mold
6287,"135 Johnson Creek Suite 664
Huntport, CA 07262",3081,93,Residential,9,Fair,Concrete,Extinguishers,"Wide Doorways, Elevator, None",None,Office,Occupied,Mold
6288,"38704 Walker Forks Suite 781
Tamaraville, TX 56965",8174,77,Commercial,2,Excellent,Wood,"Sprinklers, Extinguishers, Alarms",Wide Doorways,Beautiful member sort.,Residential,Vacant,None
6289,"168 Victoria Creek Suite 232
West Karaborough, MT 32066",5615,24,Residential,5,Excellent,Brick,"Alarms, Extinguishers, Sprinklers",Wide Doorways,None,Retail,Occupied,None
6290,"68424 Megan Cliff
Port Douglasbury, OH 42812",5684,3,Residential,4,Good,Concrete,Alarms,"None, Wide Doorways",None,Retail,Occupied,Mold
6291,"USS Shelton
FPO AE 80992",3815,68,Residential,8,Excellent,Brick,Alarms,Ramps,None,Office,Occupied,None
6292,"Unit 1150 Box 0341
DPO AP 54334",9848,96,Industrial,5,Fair,Steel,"Sprinklers, Alarms, Extinguishers","Wide Doorways, Ramps, Elevator",Yes floor bit.,Residential,Occupied,None
6293,"8234 Castillo Grove Suite 970
Gonzalezland, WY 49354",5723,36,Commercial,10,Fair,Brick,"Sprinklers, Alarms, Extinguishers","Elevator, Ramps, None",Where cut tell successful.,Residential,Occupied,Mold
6294,"4508 Colton Road Apt. 493
Shawnburgh, NM 19978",7089,29,Commercial,4,Poor,Concrete,"Alarms, Sprinklers, Extinguishers","Wide Doorways, None, Ramps",Mr majority.,Residential,Occupied,None
6295,"8711 White Path
Lake Karlamouth, AL 80556",1022,19,Industrial,1,Excellent,Wood,Extinguishers,"Wide Doorways, Ramps",You.,Retail,Occupied,None
6296,"546 Michelle Bridge Suite 822
Taylorview, MT 74735",4176,9,Commercial,7,Excellent,Steel,Extinguishers,"None, Ramps",Yet lay artist.,Retail,Occupied,None
6297,"3381 Thompson Glen Suite 635
Lake Michaelfurt, DE 22874",8328,55,Residential,3,Fair,Steel,"Extinguishers, Sprinklers",Wide Doorways,Bill.,Warehouse,Occupied,Asbestos
6298,"903 Veronica Burg Suite 961
South Andrewborough, AK 11008",1116,98,Industrial,6,Good,Wood,"Extinguishers, Sprinklers","Elevator, None",None,Retail,Vacant,Mold
6299,"93292 Janet Spurs Apt. 450
Williamtown, NJ 48301",1892,31,Commercial,7,Poor,Brick,"Extinguishers, Sprinklers, Alarms",Elevator,Just such majority card.,Warehouse,Vacant,None
6300,"7397 Michael Glen Apt. 814
New Rebekahmouth, NE 59382",4173,94,Residential,10,Fair,Steel,"Extinguishers, Sprinklers","None, Elevator, Ramps",Sense positive.,Office,Occupied,Mold
6301,"5008 Debra Avenue Apt. 668
Jacquelineberg, OR 65796",1261,100,Residential,5,Excellent,Brick,"Alarms, Sprinklers, Extinguishers","Elevator, None, Ramps",New front doctor.,Warehouse,Occupied,Asbestos
6302,"3869 Carol Common Apt. 970
Paulbury, WV 74248",1423,49,Commercial,7,Fair,Concrete,"Alarms, Extinguishers","None, Ramps, Elevator",Stop painting now.,Warehouse,Vacant,None
6303,"8589 Sanders Islands Suite 548
Sandraport, NC 68342",1716,76,Commercial,6,Excellent,Concrete,Extinguishers,"Ramps, None, Wide Doorways",None,Retail,Occupied,None
6304,"858 Bender Drive Apt. 379
Lake Jessicaside, IN 02443",3217,10,Residential,5,Poor,Concrete,"Alarms, Sprinklers, Extinguishers","None, Elevator, Wide Doorways, Ramps",Rise reason.,Office,Vacant,Mold
6305,"33511 Alexander Curve Suite 507
Beasleystad, TX 20215",7785,95,Commercial,8,Excellent,Brick,"Extinguishers, Sprinklers",Ramps,Policy great list.,Residential,Vacant,None
6306,"1214 Deanna Crescent
Leeshire, NJ 02530",8545,27,Residential,1,Good,Concrete,Extinguishers,"Wide Doorways, None",None,Warehouse,Occupied,None
6307,"01943 Golden Expressway Suite 630
North Melissaborough, NE 27698",4350,92,Residential,6,Good,Steel,Extinguishers,"None, Ramps",None,Warehouse,Occupied,None
6308,"9949 Brandon Prairie Apt. 503
West Shellyfurt, OH 89713",1678,53,Residential,1,Poor,Wood,"Sprinklers, Extinguishers","None, Wide Doorways, Ramps, Elevator",None,Residential,Occupied,None
6309,"620 Rogers Village
Smithfurt, IA 21400",1031,3,Industrial,9,Excellent,Brick,"Alarms, Extinguishers, Sprinklers","Ramps, Wide Doorways",Push break subject.,Warehouse,Occupied,None
6310,"939 Snyder Route Suite 261
Hawkinsville, IN 48295",4840,21,Commercial,2,Excellent,Concrete,Alarms,"Ramps, Wide Doorways",Public author.,Retail,Occupied,None
6311,"PSC 9524, Box 6761
APO AA 95461",5278,34,Commercial,1,Good,Wood,"Alarms, Sprinklers, Extinguishers","None, Elevator, Wide Doorways",Couple look long.,Residential,Vacant,None
6312,"PSC 5127, Box 0661
APO AA 65269",5163,75,Industrial,6,Good,Concrete,"Alarms, Extinguishers, Sprinklers","Ramps, None",Worker know least.,Warehouse,Vacant,Lead Paint
6313,"905 Martinez Trail Apt. 236
New Juliehaven, OH 64215",2347,58,Commercial,1,Fair,Wood,"Alarms, Sprinklers, Extinguishers","None, Elevator, Ramps",None,Office,Occupied,Asbestos
6314,"914 Kevin Shoal Apt. 242
New Max, DC 62944",4924,68,Commercial,2,Poor,Brick,"Sprinklers, Alarms","None, Ramps",None,Warehouse,Vacant,Lead Paint
6315,"05862 Flynn Cliff
North Terri, SC 85390",717,21,Industrial,6,Good,Steel,Extinguishers,"Ramps, Wide Doorways",Collection phone.,Office,Occupied,Asbestos
6316,"988 Emily Mills
Lake Kathyfort, MT 13989",8491,13,Residential,2,Poor,Wood,Extinguishers,"None, Ramps, Elevator",Upon country.,Residential,Vacant,Mold
6317,"496 Martinez Flats Suite 136
Lopezshire, CO 72308",4145,44,Commercial,7,Poor,Wood,"Sprinklers, Alarms, Extinguishers",Elevator,Again cause.,Residential,Occupied,None
6318,"3650 Contreras Villages Apt. 810
Gibbsstad, OH 31822",5831,4,Industrial,2,Poor,Wood,Extinguishers,Ramps,Suggest government.,Warehouse,Vacant,Mold
6319,"75618 Todd Drive Suite 439
East Danielbury, AZ 47437",4123,31,Residential,9,Good,Concrete,"Alarms, Sprinklers","Elevator, None, Ramps",Information give water.,Residential,Occupied,None
6320,"9118 Linda Forges
Savannahfort, VA 99862",6486,32,Residential,8,Good,Brick,"Alarms, Sprinklers, Extinguishers","Ramps, Elevator",Interview key health too.,Office,Vacant,None
6321,"5125 Dana Extensions
New Mark, WY 43529",8414,11,Industrial,8,Good,Concrete,"Alarms, Sprinklers, Extinguishers","None, Elevator, Wide Doorways, Ramps",None,Warehouse,Vacant,None
6322,"125 Leonard Course
South Brittany, HI 59336",1919,55,Industrial,5,Poor,Concrete,"Sprinklers, Extinguishers, Alarms","Ramps, None",None,Retail,Occupied,None
6323,"389 Wilson Turnpike Suite 115
Tatetown, MN 39711",8322,22,Residential,6,Excellent,Steel,"Alarms, Extinguishers, Sprinklers","None, Elevator",Choice thought fund bill.,Office,Vacant,None
6324,"71351 Elliott Terrace Apt. 601
South Jimmytown, PA 15507",3520,91,Industrial,2,Excellent,Concrete,"Extinguishers, Alarms",None,None,Residential,Vacant,None
6325,"1053 Justin Hills
Cameronhaven, MN 56773",6306,79,Industrial,5,Poor,Brick,"Extinguishers, Alarms","Elevator, Ramps, None, Wide Doorways",Visit grow.,Office,Occupied,None
