Inspection ID,Property ID,Date of Last Inspection,Inspection Results,Identified Issues,Compliance Status
5878,22412,2022-07-31,Passed,None,Non-compliant
5879,30786,2023-02-10,Passed,Couple risk quite wall yard usually industry write.,Compliant
5880,37994,2024-04-24,Passed,None,Non-compliant
5881,38610,2021-09-17,Passed with minor issues,None,Non-compliant
5882,28112,2022-12-07,Passed,Customer glass send however.,Compliant
5883,28725,2022-06-29,Passed with minor issues,Course base capital girl.,Non-compliant
5884,35838,2023-07-11,Passed with minor issues,None,Compliant
5885,44892,2023-01-16,Failed,Water candidate reach same or have off.,Compliant
5886,4964,2023-02-12,Passed with minor issues,None,Compliant
5887,39761,2022-06-08,Failed,Six evidence home safe.,Compliant
5888,43656,2021-10-24,Failed,None,Compliant
5889,39163,2022-11-20,Passed,Western per hard choose technology.,Non-compliant
5890,41736,2021-11-07,Passed with minor issues,Him better way audience.,Non-compliant
5891,3771,2022-11-06,Failed,None,Non-compliant
5892,16367,2024-01-09,Passed with minor issues,Cause charge guy enter act drive.,Non-compliant
5893,3128,2024-07-25,Failed,None,Non-compliant
5894,33330,2024-05-15,Failed,None,Compliant
5895,39163,2023-05-07,Passed,None,Compliant
5896,26893,2023-06-18,Passed,None,Non-compliant
5897,4403,2022-01-01,Failed,But begin defense.,Non-compliant
5898,4103,2022-04-04,Passed with minor issues,Actually care everything mother once.,Compliant
5899,22533,2022-07-06,Passed,None,Compliant
5900,17693,2024-01-18,Passed,None,Compliant
5901,24921,2021-09-28,Failed,Local learn give guy leg.,Compliant
5902,23758,2024-01-04,Passed,None,Non-compliant
5903,19287,2022-05-19,Passed,Any food east child than west major.,Compliant
5904,4335,2022-10-06,Passed,Former end whatever still sometimes pass international.,Non-compliant
5905,17644,2022-11-18,Passed,None,Non-compliant
5906,31442,2022-10-31,Passed with minor issues,None,Compliant
5907,9780,2022-10-15,Passed with minor issues,None,Compliant
5908,20805,2024-04-11,Failed,Where perhaps food.,Non-compliant
5909,1472,2024-08-14,Failed,Affect candidate situation meet range.,Compliant
5910,14137,2023-03-29,Failed,Soldier little fast analysis player source traditional.,Compliant
5911,46848,2023-01-27,Failed,Actually despite board eye bag.,Non-compliant
5912,7350,2024-07-02,Passed with minor issues,None,Non-compliant
5913,48355,2022-03-14,Failed,None,Non-compliant
5914,39504,2024-04-26,Passed,Wear leg I huge teacher.,Compliant
5915,3763,2023-12-13,Failed,Item discussion control share single value.,Compliant
5916,29488,2022-07-24,Passed with minor issues,I stock push political door herself watch option.,Compliant
5917,32864,2023-04-25,Passed with minor issues,Whatever impact price what lay pretty.,Non-compliant
5918,27805,2022-06-25,Failed,None,Compliant
5919,33724,2022-11-04,Passed,Through food newspaper health give suffer.,Non-compliant
5920,10207,2021-12-17,Passed with minor issues,How family set.,Non-compliant
5921,36476,2023-05-18,Passed with minor issues,Return step majority challenge.,Compliant
5922,46334,2022-06-26,Passed,History issue consumer make.,Compliant
5923,5238,2024-07-10,Passed,Others goal before community edge meet whose.,Non-compliant
5924,10430,2023-07-29,Failed,Young beat crime type dog.,Compliant
5925,10931,2022-05-15,Passed,Federal tough travel eight step capital act.,Compliant
5926,34683,2024-06-01,Passed with minor issues,Color more enough machine.,Compliant
5927,46170,2023-01-08,Passed with minor issues,Different property near across nothing trial.,Compliant
5928,17007,2024-04-28,Passed,None,Non-compliant
5929,46558,2022-02-13,Passed with minor issues,Society close appear professor yeah note night.,Compliant
5930,24537,2023-05-23,Passed,None,Compliant
5931,33282,2024-06-10,Failed,None,Non-compliant
5932,28234,2022-06-02,Failed,Possible the work.,Non-compliant
5933,38167,2024-04-16,Passed,None,Non-compliant
5934,14550,2023-09-21,Failed,None,Compliant
5935,11678,2023-06-16,Failed,Relationship eye better city door friend maybe.,Non-compliant
5936,33072,2022-10-25,Failed,None,Non-compliant
5937,17950,2024-08-06,Failed,Want star over significant project kind treatment oil.,Non-compliant
5938,42257,2021-12-28,Failed,None,Compliant
5939,26219,2024-05-20,Passed,None,Compliant
5940,33923,2023-03-18,Failed,Mother choose history south unit manage.,Compliant
5941,24235,2021-11-26,Passed with minor issues,None,Non-compliant
5942,18385,2023-03-27,Passed with minor issues,None,Non-compliant
5943,36317,2023-03-20,Passed,Class attack kind really any.,Compliant
5944,11389,2021-11-06,Failed,Network specific director race.,Non-compliant
5945,48779,2022-05-21,Failed,None,Compliant
5946,45800,2023-01-30,Passed with minor issues,Responsibility event and foot religious family.,Non-compliant
5947,38107,2024-04-21,Passed with minor issues,None,Non-compliant
5948,1596,2024-03-12,Passed,None,Compliant
5949,8302,2021-11-05,Failed,None,Non-compliant
5950,29798,2024-03-10,Passed,None,Compliant
5951,12127,2024-06-16,Passed,None,Compliant
5952,36488,2023-10-20,Passed with minor issues,None,Non-compliant
5953,46695,2022-06-10,Passed with minor issues,None,Non-compliant
5954,8949,2022-10-12,Failed,Culture pass through song such ability teacher.,Compliant
5955,14599,2021-12-12,Failed,Exist style along child church.,Compliant
5956,31972,2024-02-17,Failed,None,Compliant
5957,17987,2024-09-05,Passed with minor issues,None,Compliant
5958,4876,2022-10-26,Passed with minor issues,None,Non-compliant
5959,42914,2024-01-01,Passed,Suddenly media generation across allow stop.,Non-compliant
5960,22267,2023-11-06,Passed,None,Non-compliant
5961,12944,2021-12-28,Passed,Memory sing pressure arrive realize especially know.,Non-compliant
5962,25202,2023-08-18,Failed,None,Compliant
5963,5304,2024-08-20,Passed,Practice win his ball do.,Non-compliant
5964,26946,2023-11-20,Failed,None,Compliant
5965,18943,2022-06-16,Passed,Show although possible again goal store rock.,Compliant
5966,23508,2022-02-06,Passed,Various prevent work order exist everything call create.,Non-compliant
5967,11570,2023-02-14,Passed,Your window child contain western.,Non-compliant
5968,22753,2023-01-06,Failed,None,Non-compliant
5969,17776,2022-07-24,Passed,Six among describe home.,Compliant
5970,35364,2021-09-26,Failed,None,Compliant
5971,9734,2024-01-30,Passed,None,Non-compliant
5972,22625,2024-02-19,Failed,Blood move individual stuff.,Compliant
5973,15231,2023-12-10,Passed,None,Compliant
5974,8378,2023-09-29,Failed,Court study mean when different night.,Compliant
5975,39639,2022-10-16,Failed,Could road turn bill morning gas nature.,Non-compliant
5976,8072,2024-04-05,Passed,Data performance store test important both nor.,Compliant
5977,5418,2021-11-02,Passed with minor issues,Hope continue get beautiful.,Non-compliant
5978,5125,2021-11-03,Passed,None,Compliant
5979,6807,2023-10-05,Failed,Energy before budget standard explain.,Compliant
5980,10155,2022-06-24,Passed with minor issues,Paper evidence admit market month.,Compliant
5981,44752,2023-06-02,Failed,Image on enter.,Non-compliant
5982,4840,2023-02-11,Failed,Political four other nothing unit go officer.,Compliant
5983,23701,2022-09-14,Passed,Instead commercial thousand Mr whose media.,Non-compliant
5984,48134,2024-08-12,Passed,Dog understand out structure.,Compliant
5985,49751,2023-11-07,Failed,None,Non-compliant
5986,40539,2023-11-20,Failed,Set five thus south difference half land.,Non-compliant
5987,3119,2024-07-21,Failed,Real eat artist family.,Non-compliant
5988,19426,2023-10-07,Failed,Road name water ok.,Compliant
5989,14169,2024-03-21,Failed,None,Non-compliant
5990,36880,2022-09-07,Passed with minor issues,None,Non-compliant
5991,3162,2022-11-30,Passed,None,Non-compliant
5992,31872,2022-08-14,Failed,None,Compliant
5993,44451,2022-08-30,Passed with minor issues,Child prepare war compare.,Compliant
5994,46276,2023-08-12,Passed,Media catch decision time.,Compliant
5995,31858,2023-04-21,Passed,None,Non-compliant
5996,28200,2023-06-26,Failed,Gas sometimes hold.,Non-compliant
5997,12989,2023-09-03,Failed,None,Non-compliant
5998,43509,2024-05-21,Passed,None,Compliant
5999,13611,2024-04-04,Passed with minor issues,Perform relationship list above manage.,Compliant
6000,27997,2024-07-14,Failed,None,Compliant
6001,49750,2022-09-06,Failed,Late light animal international.,Non-compliant
6002,3275,2022-11-19,Failed,Street boy notice eat skill.,Compliant
6003,47720,2023-07-23,Passed with minor issues,None,Non-compliant
6004,49547,2023-08-05,Passed with minor issues,Mrs write recently here decade.,Compliant
6005,6115,2024-04-29,Passed,Seat head eight use.,Non-compliant
6006,29036,2024-03-21,Passed,None,Compliant
6007,6185,2023-09-04,Passed,Man factor market music.,Non-compliant
6008,25032,2024-08-26,Failed,Star have four late arrive available look eye.,Non-compliant
6009,35208,2024-09-15,Passed,Work create teach look then reveal wonder why.,Non-compliant
6010,8301,2022-05-08,Passed with minor issues,Enjoy deal same beat American leg project their.,Compliant
6011,21046,2024-09-12,Passed with minor issues,Teacher they economy either.,Non-compliant
6012,45682,2021-11-29,Passed with minor issues,None,Compliant
6013,42795,2023-02-19,Failed,None,Compliant
6014,17025,2024-07-02,Passed,Food performance husband author between look.,Compliant
6015,29255,2023-12-08,Passed with minor issues,Size range drive evidence future personal dog.,Non-compliant
6016,21974,2024-08-25,Passed,None,Compliant
6017,8118,2022-04-24,Failed,Although song poor indeed party interest.,Non-compliant
6018,8239,2023-10-09,Passed with minor issues,None,Compliant
6019,27706,2022-01-09,Failed,Fine job necessary return.,Non-compliant
6020,14372,2022-02-20,Passed with minor issues,Red plan practice guy activity buy.,Non-compliant
6021,35501,2022-09-24,Passed,Minute here sing baby back hotel.,Non-compliant
6022,21380,2022-11-20,Failed,None,Non-compliant
6023,16376,2024-08-01,Passed with minor issues,Film hear difficult attack.,Compliant
6024,16283,2023-02-11,Failed,Military close name entire detail total far.,Non-compliant
6025,46787,2022-03-03,Passed with minor issues,Wish camera first follow.,Non-compliant
6026,37653,2022-12-20,Failed,None,Compliant
6027,49357,2023-10-31,Passed,Number citizen man within.,Compliant
6028,46071,2022-10-28,Passed with minor issues,Body all person doctor summer baby.,Compliant
6029,24772,2022-04-22,Failed,None,Non-compliant
6030,1724,2022-10-02,Failed,Spend condition building already nor.,Non-compliant
6031,33777,2023-11-04,Passed,Hear sit allow.,Compliant
6032,9242,2024-07-04,Passed with minor issues,Miss address ready direction.,Non-compliant
6033,38557,2024-02-29,Failed,None,Compliant
6034,32525,2022-06-06,Passed,None,Non-compliant
6035,31865,2023-05-25,Failed,Affect drive down nor although.,Compliant
6036,20026,2024-03-09,Passed,None,Non-compliant
6037,49584,2024-03-11,Failed,None,Compliant
6038,17954,2023-07-30,Passed with minor issues,None,Non-compliant
6039,17206,2023-10-18,Passed,Along find per paper service religious ahead.,Compliant
6040,1236,2023-08-19,Passed with minor issues,Item final available age as month moment.,Non-compliant
6041,4890,2022-05-23,Passed,None,Compliant
6042,22572,2023-09-01,Passed with minor issues,None,Compliant
6043,9465,2023-02-16,Passed,For person program thing ten this degree.,Compliant
6044,18444,2024-07-27,Passed,Take where history size court total.,Compliant
6045,23814,2023-10-19,Failed,Knowledge music hope.,Compliant
6046,45480,2022-07-20,Passed with minor issues,Growth most black trade reveal election management.,Non-compliant
6047,26593,2024-02-18,Passed with minor issues,List participant few raise fund garden.,Non-compliant
6048,8568,2023-09-13,Failed,None,Compliant
6049,6618,2024-02-11,Passed with minor issues,Heart yard grow never agreement value strategy explain.,Non-compliant
6050,48810,2022-04-08,Passed,Strong light career recently sort face.,Compliant
6051,25323,2024-08-21,Passed,None,Non-compliant
6052,42461,2021-11-14,Passed with minor issues,None,Non-compliant
6053,49077,2023-07-17,Failed,Herself station too plan light improve away.,Compliant
6054,16109,2022-06-29,Passed,None,Compliant
6055,3056,2023-11-20,Passed,Pick course seem if.,Non-compliant
6056,3145,2023-10-17,Passed,Seven commercial lot.,Non-compliant
6057,35817,2024-02-18,Passed with minor issues,Professional law determine economy water guess service.,Compliant
6058,18265,2024-04-11,Passed with minor issues,None,Non-compliant
6059,20475,2024-07-22,Passed,None,Non-compliant
6060,46655,2021-10-08,Failed,Already onto citizen.,Non-compliant
6061,16853,2021-09-20,Failed,Politics begin age store interesting course.,Non-compliant
6062,36488,2022-12-21,Passed,None,Non-compliant
6063,49254,2024-08-15,Passed with minor issues,Order bag population near.,Compliant
6064,12112,2024-07-13,Passed with minor issues,None,Non-compliant
6065,6843,2024-04-08,Passed,None,Non-compliant
6066,14945,2023-09-21,Passed,Here firm mind wrong summer.,Non-compliant
6067,19998,2024-05-21,Failed,None,Compliant
6068,18124,2023-07-21,Passed with minor issues,None,Compliant
6069,29288,2021-10-04,Passed with minor issues,Step resource wind against environment position.,Non-compliant
6070,38107,2024-07-31,Failed,Pass believe spend four wide word recent accept.,Non-compliant
6071,26234,2022-06-09,Passed with minor issues,Her PM activity your church push.,Compliant
6072,26516,2023-11-10,Passed,Fire popular strong price.,Non-compliant
6073,43833,2024-09-10,Failed,None,Non-compliant
6074,39762,2022-04-29,Failed,None,Compliant
6075,14857,2023-10-29,Failed,None,Compliant
6076,40222,2024-07-26,Passed with minor issues,None,Compliant
6077,12789,2022-11-11,Passed,None,Compliant
6078,39256,2022-04-01,Failed,Find ready yes light now.,Non-compliant
6079,15583,2021-11-01,Passed,Five similar information before.,Non-compliant
6080,11586,2022-08-11,Passed with minor issues,Deal safe rock power lead.,Non-compliant
6081,18609,2022-01-30,Failed,None,Compliant
6082,1593,2024-03-08,Passed,None,Compliant
6083,38276,2022-02-05,Passed with minor issues,Situation skin especially nature word difference miss.,Compliant
6084,30618,2023-10-27,Failed,None,Compliant
6085,42147,2022-07-13,Passed with minor issues,Seven interesting now know alone feeling.,Non-compliant
6086,39426,2023-10-11,Passed with minor issues,None,Non-compliant
6087,23847,2022-08-08,Passed,Either bed star language.,Compliant
6088,7796,2023-09-03,Passed,Writer economic in kitchen first.,Non-compliant
6089,24914,2022-07-28,Failed,Wait same degree.,Non-compliant
6090,26470,2024-08-04,Passed with minor issues,None,Non-compliant
6091,34052,2022-04-03,Passed,None,Compliant
6092,35930,2021-11-18,Failed,Trade production site wide word until.,Non-compliant
6093,47276,2022-10-06,Passed with minor issues,None,Compliant
6094,17220,2024-01-18,Passed,None,Non-compliant
6095,11194,2023-06-13,Passed with minor issues,Tree none security coach safe.,Non-compliant
6096,13709,2024-06-25,Failed,None,Non-compliant
6097,46945,2022-09-15,Failed,Over soon open wish wrong seat within.,Non-compliant
6098,3976,2024-02-11,Passed,None,Compliant
6099,39909,2024-05-02,Failed,None,Non-compliant
6100,20307,2022-05-26,Passed with minor issues,Allow laugh stock truth.,Compliant
6101,12477,2022-02-15,Passed with minor issues,Beat low finally safe.,Compliant
6102,23151,2023-10-05,Passed with minor issues,Yes voice born unit high still.,Non-compliant
6103,9685,2024-02-27,Failed,None,Non-compliant
6104,11940,2023-01-11,Passed,Debate any area moment relationship opportunity.,Compliant
6105,18576,2023-04-23,Failed,Plant culture management establish themselves Congress.,Non-compliant
6106,45182,2023-02-05,Passed with minor issues,Gun my manage yeah big.,Compliant
6107,10198,2022-04-11,Passed,None,Compliant
6108,41397,2023-04-10,Passed,None,Non-compliant
6109,1758,2021-11-04,Passed,None,Non-compliant
6110,6184,2024-08-19,Failed,International example fund gun religious question management process.,Compliant
6111,2376,2024-03-15,Failed,Short mention news relate rest boy student bad.,Compliant
6112,1571,2024-08-17,Failed,Size discuss color none reflect decision amount perhaps.,Non-compliant
6113,28442,2023-09-07,Failed,World mention similar everyone born challenge.,Non-compliant
6114,44622,2022-05-05,Passed with minor issues,None,Compliant
6115,45718,2024-04-10,Failed,None,Non-compliant
6116,12185,2022-12-13,Failed,Bit ever report feel on health.,Compliant
6117,42375,2022-09-23,Failed,None,Compliant
6118,45423,2022-10-22,Passed,None,Non-compliant
6119,32130,2024-08-15,Passed,None,Compliant
6120,22539,2023-06-11,Passed,Choose blue inside Mrs.,Non-compliant
6121,28341,2023-10-29,Failed,None,Compliant
6122,6017,2023-03-17,Passed,None,Compliant
6123,47994,2022-11-21,Failed,None,Non-compliant
6124,40652,2023-11-17,Passed,None,Compliant
6125,48393,2021-11-20,Passed with minor issues,None,Non-compliant
6126,47669,2022-10-18,Passed with minor issues,None,Compliant
6127,9365,2024-06-17,Passed,He throw also bar.,Non-compliant
6128,42226,2021-12-26,Passed,Water rule film smile good theory increase.,Compliant
6129,18197,2023-01-12,Passed with minor issues,Fire per head themselves employee.,Compliant
6130,34406,2024-09-11,Failed,None,Non-compliant
6131,16264,2022-11-26,Passed,Best majority enter should.,Non-compliant
6132,21001,2022-10-01,Failed,Dinner attack win gas.,Non-compliant
6133,5409,2023-04-03,Failed,None,Compliant
6134,12763,2023-09-14,Passed with minor issues,General clearly price director follow most opportunity.,Compliant
6135,28058,2021-09-29,Passed,None,Compliant
6136,29419,2021-12-28,Failed,Bill however likely.,Compliant
6137,48078,2022-04-06,Failed,None,Non-compliant
6138,23357,2023-01-22,Failed,Fact anyone every foot two billion option style.,Non-compliant
6139,41722,2023-10-11,Passed,Realize you whole your road.,Compliant
6140,14502,2022-06-17,Passed with minor issues,None,Compliant
6141,34999,2023-06-26,Passed with minor issues,Nor how ask call experience example.,Compliant
6142,45336,2023-09-05,Failed,Alone financial who career.,Compliant
6143,24768,2022-11-07,Passed with minor issues,Become material American traditional.,Non-compliant
6144,34238,2022-02-15,Failed,List agreement generation trial.,Compliant
6145,213,2023-06-18,Passed,None,Compliant
6146,559,2022-07-16,Failed,Discussion over marriage.,Compliant
6147,19458,2023-07-25,Failed,Something air garden deal local another.,Non-compliant
6148,3165,2022-10-21,Failed,Despite baby change against strategy hand.,Non-compliant
6149,24049,2023-02-05,Passed,None,Compliant
6150,26695,2023-03-31,Passed with minor issues,None,Compliant
6151,27093,2022-03-14,Passed,None,Non-compliant
6152,5385,2023-07-26,Failed,Others share clearly prepare television forward body box.,Compliant
6153,30751,2023-11-25,Passed,Arm hundred later those everyone system where.,Non-compliant
6154,44543,2024-04-24,Passed with minor issues,Loss cold risk happen stand top.,Non-compliant
6155,6762,2024-01-28,Passed,Keep require yeah someone positive perform.,Non-compliant
6156,41323,2022-02-28,Failed,Such resource network community teach society interview program.,Compliant
6157,48600,2024-03-07,Failed,Talk hard road.,Non-compliant
6158,34061,2021-09-16,Failed,He yeah character politics out mention might interview.,Compliant
6159,43401,2022-02-27,Failed,School run rest write training hold reality else.,Non-compliant
6160,31142,2024-01-31,Passed with minor issues,Data determine whose pattern media.,Non-compliant
6161,19539,2022-02-16,Failed,None,Non-compliant
6162,45359,2022-06-03,Failed,Size age say.,Non-compliant
6163,25683,2023-12-30,Failed,None,Compliant
6164,29303,2023-03-09,Passed with minor issues,None,Compliant
6165,46543,2023-05-22,Passed with minor issues,Account window government.,Compliant
6166,10178,2024-03-09,Passed,None,Non-compliant
6167,6941,2023-12-20,Passed,None,Compliant
6168,44755,2022-11-05,Passed with minor issues,Evening third where already they.,Compliant
6169,34844,2023-10-10,Passed,None,Non-compliant
6170,26953,2024-04-16,Failed,Modern field doctor paper.,Compliant
6171,48321,2022-06-26,Passed with minor issues,None,Non-compliant
6172,33588,2024-07-06,Failed,None,Compliant
6173,30191,2023-10-03,Passed with minor issues,None,Compliant
6174,2018,2021-10-07,Failed,Kid become culture writer.,Compliant
6175,7222,2023-02-26,Failed,Evidence music close fire.,Non-compliant
6176,10579,2022-05-18,Passed with minor issues,None,Non-compliant
6177,38829,2024-04-21,Failed,Animal heavy very from.,Non-compliant
6178,10739,2023-03-18,Failed,None,Compliant
6179,4902,2024-06-17,Failed,None,Non-compliant
6180,43413,2023-08-05,Passed with minor issues,Article power until write writer shoulder enjoy according.,Compliant
6181,3013,2024-09-03,Passed with minor issues,Word born arrive full prepare mother.,Compliant
6182,8027,2022-11-28,Passed with minor issues,None,Non-compliant
6183,14402,2022-07-29,Passed,Million trip phone ask.,Non-compliant
6184,14984,2024-08-12,Passed with minor issues,Without drug chair not town back.,Non-compliant
6185,42894,2023-07-10,Passed with minor issues,Customer training class peace happen receive.,Non-compliant
6186,6317,2022-02-07,Passed,Night ok man water specific wear do decide.,Compliant
6187,5453,2023-05-04,Passed with minor issues,Pretty company threat century.,Non-compliant
6188,37166,2022-07-26,Failed,Foot young model wall with.,Non-compliant
6189,31258,2023-04-19,Passed,Player get religious hit fact.,Non-compliant
6190,27211,2024-07-29,Passed,None,Non-compliant
6191,39891,2023-06-24,Passed with minor issues,None,Non-compliant
6192,26097,2023-06-20,Passed,None,Non-compliant
6193,8487,2024-07-09,Failed,None,Non-compliant
6194,24753,2024-07-18,Passed,Market senior growth partner blue cover.,Non-compliant
6195,20462,2023-01-18,Passed with minor issues,None,Non-compliant
6196,13598,2023-02-04,Passed,None,Compliant
6197,25491,2022-11-05,Failed,Little billion may whom statement.,Non-compliant
6198,10615,2024-08-08,Failed,None,Non-compliant
6199,16193,2024-07-26,Passed with minor issues,None,Non-compliant
6200,43948,2022-09-29,Passed with minor issues,Finally summer Mr along.,Compliant
6201,41147,2023-03-31,Passed with minor issues,Performance first enjoy.,Compliant
6202,47420,2023-02-07,Failed,Image Democrat behind some.,Non-compliant
6203,5322,2022-11-25,Passed with minor issues,Above like choose current language must.,Non-compliant
6204,43995,2022-01-26,Passed with minor issues,None,Non-compliant
6205,33608,2022-11-25,Passed,Child notice interest candidate none nice.,Non-compliant
6206,39445,2023-05-17,Passed,None,Compliant
6207,38386,2021-11-23,Failed,Cup either tree energy represent record.,Non-compliant
6208,25268,2024-03-10,Failed,Threat seven serious phone.,Compliant
6209,15569,2023-10-18,Passed with minor issues,None,Non-compliant
6210,21732,2022-07-12,Passed with minor issues,None,Compliant
6211,49691,2023-05-03,Passed,None,Compliant
6212,33593,2024-08-26,Failed,Director Republican research part south like.,Non-compliant
6213,6320,2022-05-04,Passed with minor issues,Leave whole challenge leave future Democrat.,Compliant
6214,14384,2023-02-05,Failed,Possible process price.,Compliant
6215,3886,2022-11-10,Passed,Explain machine list lose year.,Compliant
6216,31417,2024-07-02,Passed with minor issues,None,Compliant
6217,5002,2023-07-17,Failed,None,Compliant
6218,40907,2023-02-28,Passed,Population trial have major.,Non-compliant
6219,20424,2024-04-13,Failed,None,Compliant
6220,2099,2023-05-07,Failed,Financial defense many team nor risk draw.,Non-compliant
6221,30123,2023-08-01,Failed,None,Non-compliant
6222,45273,2024-01-06,Passed with minor issues,He toward yes cut each performance life.,Compliant
6223,47081,2022-07-18,Failed,None,Non-compliant
6224,36399,2023-10-29,Failed,None,Non-compliant
6225,39489,2023-10-20,Passed with minor issues,None,Non-compliant
6226,43276,2022-04-04,Failed,Police choose matter.,Non-compliant
6227,16697,2022-03-24,Failed,Student television discover certain.,Non-compliant
6228,25962,2024-04-02,Failed,None,Non-compliant
6229,8584,2022-08-09,Passed with minor issues,None,Compliant
6230,28460,2024-01-05,Failed,None,Compliant
6231,26546,2022-08-13,Failed,Less long ten game both.,Compliant
6232,41231,2024-03-09,Passed,Argue mean senior early down.,Compliant
6233,29386,2024-06-22,Passed with minor issues,None,Compliant
6234,42797,2024-01-19,Failed,None,Compliant
6235,42690,2022-05-23,Passed,None,Non-compliant
6236,45793,2023-10-19,Failed,Between crime executive language become.,Compliant
6237,15767,2024-08-02,Passed,None,Non-compliant
6238,16040,2024-07-28,Failed,None,Non-compliant
6239,46855,2022-01-30,Failed,None,Non-compliant
6240,5678,2023-05-04,Failed,Product size big necessary wind.,Compliant
6241,16570,2023-10-21,Passed,Item gun fear may recently stay commercial.,Non-compliant
6242,12960,2022-04-07,Failed,Film idea send difficult pretty sell.,Non-compliant
6243,23852,2023-05-05,Failed,Another capital source.,Compliant
6244,26353,2023-02-07,Passed,Design find often major.,Compliant
6245,17800,2023-05-24,Passed with minor issues,None,Compliant
6246,29392,2022-12-17,Failed,None,Compliant
6247,5661,2024-08-01,Passed,Audience beat try.,Compliant
6248,41971,2023-01-23,Passed with minor issues,None,Non-compliant
6249,33254,2023-12-19,Passed with minor issues,Somebody owner hot subject according.,Compliant
6250,42751,2023-01-28,Passed,Eight debate fire before degree mission dark.,Compliant
6251,18495,2022-09-08,Passed,Could suggest himself possible.,Non-compliant
6252,33629,2021-11-03,Failed,Kind huge win let those kitchen.,Compliant
6253,47483,2022-04-27,Passed,None,Compliant
6254,25488,2024-06-18,Passed with minor issues,None,Non-compliant
6255,47380,2023-10-22,Passed,Feel fill threat state.,Compliant
6256,2743,2021-12-28,Passed,Road buy task.,Non-compliant
6257,44906,2021-12-08,Failed,We same where continue.,Compliant
6258,47871,2023-04-06,Failed,Practice job vote modern.,Compliant
6259,14818,2022-02-26,Passed with minor issues,Everything war indeed matter front.,Non-compliant
6260,25001,2024-06-11,Passed,None,Compliant
6261,22055,2024-04-22,Passed,None,Non-compliant
6262,35,2022-04-23,Passed,None,Non-compliant
6263,34842,2023-02-11,Passed with minor issues,Material beat poor music.,Non-compliant
6264,27131,2023-07-09,Failed,Hour a agency they.,Non-compliant
6265,26256,2023-05-25,Failed,Early traditional so point building benefit tonight.,Compliant
6266,44131,2023-10-05,Failed,None,Compliant
6267,4830,2024-04-10,Failed,College sign box finally senior tonight.,Non-compliant
6268,47527,2021-12-27,Failed,Me provide keep executive indicate parent world piece.,Non-compliant
6269,47461,2024-05-06,Failed,None,Compliant
6270,42338,2022-11-19,Passed,None,Non-compliant
6271,6867,2024-05-31,Passed,None,Compliant
6272,26398,2024-04-13,Failed,None,Non-compliant
6273,4322,2021-11-20,Failed,None,Compliant
6274,17572,2024-04-03,Passed with minor issues,Feel minute response real.,Compliant
6275,27466,2023-08-02,Passed,Campaign modern young election.,Compliant
6276,46470,2023-04-25,Failed,None,Compliant
6277,9381,2022-11-06,Passed,None,Compliant
6278,29186,2021-11-02,Passed with minor issues,None,Non-compliant
6279,1685,2022-03-21,Failed,None,Compliant
6280,47147,2023-01-27,Passed with minor issues,None,Compliant
6281,19948,2022-01-17,Failed,None,Non-compliant
6282,8653,2024-03-20,Failed,None,Non-compliant
6283,14828,2024-03-30,Failed,Among family training something.,Non-compliant
6284,11033,2021-12-18,Passed,None,Non-compliant
6285,46825,2023-04-11,Passed,Listen culture education hour respond another begin.,Non-compliant
6286,18501,2022-09-15,Passed with minor issues,Right attorney fine.,Non-compliant
6287,5810,2022-05-03,Passed with minor issues,Chance heart player scene.,Non-compliant
6288,35157,2021-09-29,Passed,Mother agreement market break life fund live.,Compliant
6289,36512,2022-07-29,Passed,Present free it those hundred.,Compliant
6290,36770,2024-05-02,Passed with minor issues,None,Non-compliant
6291,9073,2023-10-27,Failed,None,Compliant
6292,28141,2024-05-05,Passed with minor issues,None,Non-compliant
6293,35637,2021-11-25,Passed with minor issues,None,Non-compliant
6294,3762,2023-08-26,Failed,Itself five media well.,Compliant
6295,32947,2023-12-12,Failed,None,Non-compliant
6296,24891,2024-05-05,Passed,None,Non-compliant
6297,46990,2023-04-12,Failed,Wife current mention fine go budget hope.,Non-compliant
6298,21988,2022-02-06,Failed,Spend head together couple performance character.,Non-compliant
6299,30707,2024-02-29,Passed with minor issues,None,Compliant
6300,28937,2022-06-29,Passed with minor issues,Challenge foreign less hotel voice hand.,Compliant
6301,13893,2022-07-19,Passed,None,Non-compliant
6302,33411,2024-03-12,Passed with minor issues,None,Non-compliant
6303,249,2023-09-29,Passed,Sort left left language example defense.,Non-compliant
6304,49855,2022-07-15,Passed,Market vote run civil.,Compliant
6305,7676,2023-02-10,Passed with minor issues,Prevent either arrive thus decide finally buy.,Compliant
6306,35268,2023-01-28,Failed,None,Non-compliant
6307,34632,2021-10-23,Passed,Next someone body high.,Non-compliant
6308,36180,2024-02-04,Failed,Culture doctor card late always raise too front.,Compliant
6309,47600,2023-08-02,Failed,None,Compliant
6310,13976,2023-06-07,Failed,None,Non-compliant
6311,38414,2023-10-21,Passed with minor issues,Two nearly current statement next point ability model.,Compliant
6312,35434,2023-06-02,Passed with minor issues,Traditional sell food left.,Non-compliant
6313,45124,2024-03-16,Failed,None,Non-compliant
6314,27518,2024-06-12,Failed,None,Non-compliant
6315,30991,2022-09-03,Passed,Might thing subject positive Congress address live church.,Non-compliant
6316,41498,2023-08-29,Passed,None,Non-compliant
6317,20776,2024-07-26,Passed,None,Compliant
6318,25950,2023-01-03,Passed,None,Compliant
